# ADU, ADU Uncertainty, Sky ADU
7.617293240053796266e-02,3.649343314179703590e+00,5.591783138676720455e+02
3.394126204334280833e-02,3.648131574288070667e+00,5.589343852769942487e+02
4.319358684398619079e-03,3.647995155259126321e+00,5.591313979270461232e+02
3.458488704039060918e-02,3.648235321961659228e+00,5.589826875960150119e+02
6.431979028949882417e-03,3.648381225004971196e+00,5.593271715769400316e+02
5.796153028870861673e-02,3.648807170826314561e+00,5.590612545395871393e+02
1.297797813938660581e-02,3.648190945987176192e+00,5.591584639615622336e+02
5.507788149144415141e-02,3.649021118648379858e+00,5.592050030554344175e+02
2.374616338323645368e-02,3.649131954553633594e+00,5.595548527370009424e+02
8.351872499619816261e-05,3.649579173847082192e+00,5.600684218603878435e+02
4.626513865086221561e-02,3.648871732153114777e+00,5.592166368294506356e+02
8.402373411923977353e-02,3.649674947332051111e+00,5.592864145234505031e+02
4.200174801287302750e-02,3.649211762597057707e+00,5.594342219038770736e+02
7.290367017280750817e-02,3.649322421900784708e+00,5.592003581309417086e+02
2.190081143761944704e-04,3.649049291165731290e+00,5.597302108267073208e+02
1.866644102621470335e-03,3.648120464891684733e+00,5.592212080513228329e+02
4.779720843463872854e-02,3.648693110776007220e+00,5.591118287564755747e+02
5.306726768833527202e-02,3.648763372333048149e+00,5.590871433879783581e+02
9.293869536353317404e-03,3.648342478243788101e+00,5.592847102090437374e+02
1.098385571669996397e-02,3.648321071399049487e+00,5.592451062699832391e+02
6.632261688939698752e-02,3.649367950454128540e+00,5.593014413743694604e+02
2.685823679635958652e-02,3.649164192136566953e+00,5.595537757318057857e+02
2.480789306132468244e-02,3.648512632413789092e+00,5.592265320329902352e+02
5.029114969455164563e-02,3.648925854232474286e+00,5.592000343131844602e+02
1.192774487192676813e-01,3.649973236282349376e+00,5.591118730348861163e+02
3.055322563874121253e-02,3.648774739301104297e+00,5.592941906950670727e+02
3.638535376660771703e-02,3.649549438854947869e+00,5.596758034805371835e+02
6.091475347854437977e-02,3.648982634594597929e+00,5.591273347868133214e+02
1.110019324661477014e-01,3.649813306728761919e+00,5.591177450923814831e+02
6.128948175450647101e-02,3.649170938784003226e+00,5.592265135580846618e+02
5.013600172950775924e-02,3.648652938717277472e+00,5.590543621932536098e+02
1.303287456003917981e-02,3.648923927666452016e+00,5.595454345016967181e+02
1.847280236774213533e-02,3.649090444593767302e+00,5.595865253290547798e+02
1.778302576193779502e-02,3.648714856251147776e+00,5.594011987387052613e+02
6.223362787143587455e-02,3.649453252644545120e+00,5.593750539277111784e+02
9.192510618109987763e-03,3.648408687612621826e+00,5.593161107289399752e+02
2.164121800790042103e-03,3.648367875680128325e+00,5.593568055926685929e+02
2.038434836579280669e-03,3.648781673251303648e+00,5.595733343615191870e+02
8.963801635289293801e-03,3.648230603555278062e+00,5.592156378454104697e+02
2.627176962929872114e-02,3.648591419701970207e+00,5.592534684181828197e+02
1.915240833721600436e-02,3.648493543024855956e+00,5.592648853934548470e+02
7.871175408708100396e-02,3.649554098205828989e+00,5.592686467435120221e+02
7.105164184823427320e-02,3.649621465895198202e+00,5.593692161516636361e+02
8.664650522829780641e-03,3.648277029474416899e+00,5.592393078881696056e+02
2.452820128747165013e-02,3.649047945747173838e+00,5.595352562112477699e+02
3.730946275507322774e-02,3.649136849191543686e+00,5.594395084021890625e+02
3.363544474380778665e-02,3.648679770440826253e+00,5.592160585983369856e+02
5.222810289566155728e-02,3.649118818009359000e+00,5.592685412074936266e+02
5.842691796948415450e-02,3.649768652769630251e+00,5.595627024338640467e+02
2.814016668011254385e-02,3.648925511229790697e+00,5.593932219348657782e+02
4.524788877209220267e-02,3.648829583767190243e+00,5.591954952516506410e+02
6.909320968343475589e-02,3.649736098754930769e+00,5.594523395937543455e+02
1.447520165478317078e-01,3.650521972242435353e+00,5.591635774630710785e+02
1.679025772573771724e-01,3.651345967771974621e+00,5.593939714207734824e+02
5.457945094094689836e-02,3.650069549991932671e+00,5.597674838440854046e+02
6.365049041555539966e-02,3.649269331590301757e+00,5.592623867667959985e+02
4.837648059552390745e-02,3.649085475002339596e+00,5.593016341728880434e+02
4.327448577150330017e-02,3.649067184168812261e+00,5.593497439807121054e+02
9.370532424464902976e-02,3.649898100442440008e+00,5.593106288899920173e+02
6.865010676613622631e-02,3.648960985716905636e+00,5.590467843354718980e+02
5.963615660928491685e-02,3.649395681954063608e+00,5.593569602799313998e+02
3.699889716924221333e-02,3.648797290145752381e+00,5.592725071185230945e+02
9.472090414224094979e-03,3.649171571210390042e+00,5.597108654264959569e+02
6.602259713387499326e-03,3.647810245790850558e+00,5.589971022980096222e+02
1.685341753792412092e-02,3.649017830886846170e+00,5.595660373843751358e+02
1.919416067171893225e-02,3.648343054131256036e+00,5.591680083485401838e+02
9.468106156243549787e-02,3.649635678773748726e+00,5.591553737406773052e+02
4.383109349140688199e-02,3.649263043335897905e+00,5.594495259274916634e+02
3.505290860843044733e-03,3.648711016368821891e+00,5.595161747413138755e+02
1.114856106378139117e-01,3.649979095157873665e+00,5.591799769279617749e+02
4.311119951916850962e-02,3.648958011840965909e+00,5.593021702237612089e+02
1.208151180171392891e-01,3.649867237537978593e+00,5.590436626690599269e+02
9.539230398741117486e-03,3.648793282521864523e+00,5.595105840039146869e+02
1.321083299663160793e-01,3.650585248597977728e+00,5.593395944955987034e+02
2.361764570367025015e-02,3.648967397177778516e+00,5.594764250414250455e+02
2.164982672397440175e-02,3.648943639706404785e+00,5.594816474023131150e+02
7.657023195087976630e-02,3.649879214506922320e+00,5.594693862119830783e+02
1.105045233273411337e-01,3.649460377469937900e+00,5.589131825957176716e+02
4.897273677311078655e-02,3.649153751785840782e+00,5.593382172774561241e+02
2.227985139529646552e-02,3.648734252351888419e+00,5.593550142241367666e+02
3.113560498014851172e-02,3.649417610199920059e+00,5.596230340837980748e+02
5.572779500179236151e-02,3.649346773572673897e+00,5.593687675335598897e+02
9.726367467662383470e-02,3.649577658406580660e+00,5.591094831108144945e+02
6.882111262695961296e-02,3.648978545776323301e+00,5.590610323687939172e+02
5.415431847417970061e-03,3.648125239391361241e+00,5.591929532144398536e+02
6.158491014711274525e-02,3.649276714299663382e+00,5.592851317092259933e+02
1.329161936642995687e-02,3.648870049702943597e+00,5.595203714230902960e+02
6.194828956644945345e-02,3.649848114304953928e+00,5.595773804687647726e+02
5.553259780219992406e-03,3.648500900885588649e+00,5.593976969903449117e+02
2.053944500163441128e-02,3.648749043731279063e+00,5.593938707091258493e+02
3.063280011955122131e-02,3.649098416161666858e+00,5.594879462821469360e+02
2.271455227087790935e-02,3.648500463191143961e+00,5.592262618872758821e+02
5.313739412443350962e-02,3.649042945000149363e+00,5.592326909074394052e+02
1.291369259942039098e-02,3.648787158420730314e+00,5.594713332828936245e+02
3.330745914600337365e-02,3.649114894505309348e+00,5.594750980889468792e+02
2.812187310514166483e-02,3.648383392031311789e+00,5.591174842673974581e+02
6.880076455991869858e-03,3.649105588876068396e+00,5.597244747725429761e+02
6.240912533396261036e-02,3.649756902654167412e+00,5.595302509755389337e+02
1.129470525031308833e-02,3.648587319196059831e+00,5.593831055105084715e+02
4.761528195791466661e-02,3.649349033486267047e+00,5.594605935900968916e+02
7.892444433794180980e-02,3.649435913151100497e+00,5.591968767871479713e+02
1.009617173786002235e-02,3.648874073582943023e+00,5.595671946586652439e+02
3.509218845124783409e-02,3.648847505966763105e+00,5.592911030876304039e+02
7.952070639976141497e-02,3.649715760384117047e+00,5.593390664282443367e+02
4.848740620194569306e-02,3.649465268455005074e+00,5.595169553978139447e+02
1.047499899946360141e-01,3.650218504117597185e+00,5.593686557528358207e+02
1.912964449259259986e-02,3.649099593470686465e+00,5.595644168414451087e+02
1.321746473096559009e-02,3.648362865302814395e+00,5.592312381276748283e+02
2.260101779468515898e-02,3.648510966372159992e+00,5.592541472451028994e+02
3.394401823893491293e-02,3.648908331569819197e+00,5.593456833204747909e+02
3.129678404137552737e-03,3.648540197870589807e+00,5.594405004217160240e+02
2.136860459541139665e-02,3.648986080328871395e+00,5.594984703782413362e+02
6.857140819801903209e-02,3.649803712185424320e+00,5.594963605725010893e+02
2.900593737846964004e-02,3.649355742783643830e+00,5.596392560374355298e+02
4.408568948966130885e-02,3.649548187571753921e+00,5.596007803862204355e+02
3.082029894701405343e-02,3.648787792267039976e+00,5.593123373716684910e+02
1.649201786628719940e-02,3.648542016369214380e+00,5.593024016609582532e+02
9.621832699625183782e-02,3.649865509236656091e+00,5.592540605833282825e+02
4.015987902504689760e-02,3.648863555950903947e+00,5.592684207172845845e+02
1.021998653679334710e-03,3.649057572860299636e+00,5.597382833341554260e+02
1.326664644131450022e-01,3.650377159337218735e+00,5.592247428055320597e+02
1.163382842730455585e-01,3.650456035595479154e+00,5.593969515600897466e+02
6.051698998364780924e-02,3.649584675974241854e+00,5.594488565137459091e+02
5.073046210645447418e-02,3.649057618615058729e+00,5.592713419126080225e+02
1.186720398921157354e-01,3.650766221926670330e+00,5.595415830646880977e+02
1.985234172015634402e-01,3.652193196900028305e+00,5.595569741742442602e+02
1.758018399144572197e-01,3.651318512964970786e+00,5.593089317804973462e+02
1.507735386272437972e-01,3.650656741699490393e+00,5.591637094234965843e+02
1.967994106052244896e-01,3.652051460723594545e+00,5.594950719818791640e+02
1.089297380376837709e-01,3.650524772899153447e+00,5.595096284699619673e+02
9.423942978903150636e-02,3.650248368695467871e+00,5.594907517948248596e+02
9.268143999503186681e-02,3.650403156353289269e+00,5.596077169715496211e+02
1.516315095757530540e-01,3.650894397159700766e+00,5.593003821575867960e+02
8.502376936262341645e-02,3.649990799292647026e+00,5.594440424386516497e+02
