# Resampled Flux, Resampled Flux Uncertainty, Resampled Sky Flux, Sensitivity Curve
5.482390912885464340e-37,5.158776729833083468e-35,3.029621260920082352e-33,1.327927343703632214e-35
1.939138500333692753e-35,1.657036820028507557e-33,9.731342884285609488e-32,4.264839035781636670e-34
1.581149240540466832e-34,3.779463577999614702e-32,2.220946267158099239e-30,9.730237285973812486e-33
3.858152133263756447e-33,6.516986648062293823e-31,3.829057413549253428e-29,1.677713815920098352e-31
7.570868143145883892e-33,7.215752686097003051e-30,4.241101649882627986e-28,1.858049688085347041e-30
7.598719881526417453e-34,3.350980826924677328e-29,1.969704672167761213e-27,8.629179372868610361e-30
7.011853500967061810e-30,6.093544576581512325e-28,3.578057779103558140e-26,1.568620214595321202e-28
6.307292161528951469e-29,7.770277716383822827e-27,4.565164013730779448e-25,1.999921485791396709e-27
7.086022707832336373e-28,7.926573171785250799e-26,4.656348211759977984e-24,2.040237892687664121e-26
1.740217685736851323e-27,6.041776184195356745e-25,3.551316216744863294e-23,1.555309032185718611e-25
9.474926665410840082e-27,2.605852975443036592e-24,1.531632318379821792e-22,6.707825483034954180e-25
1.666469445636714940e-25,2.011593658677506453e-23,1.181868206738620777e-21,5.177271410379917755e-24
7.741624566933454037e-25,1.591946233331776593e-22,9.353362509251147168e-21,4.098905748652157420e-23
1.073342286682345901e-23,1.021115981737320096e-21,5.998014087958662002e-20,2.627947770034674493e-22
2.855231342571855265e-23,5.371648705075186645e-21,3.156648407999051028e-19,1.382730183686165428e-21
1.118795224465107560e-22,2.186777508708406659e-20,1.285032745600172305e-18,5.629297967562250803e-21
4.515310531445063413e-22,7.555735370548686176e-20,4.439601377749879517e-18,1.945017233707903587e-20
5.356478851187462935e-22,4.175606862874237955e-19,2.454135588519968340e-17,1.075236407427032167e-19
5.158618521139243265e-21,1.773334000361208158e-18,1.042286643315378203e-16,4.565350022274923379e-19
2.804496522447598739e-20,6.543449730670275613e-18,3.844981450705793603e-16,1.684706729285659286e-18
1.314994940487218070e-19,2.080762258642088229e-17,1.222362695880985773e-15,5.357289300984370965e-18
5.236642775318099650e-19,5.596981252048040392e-17,3.287423430471684246e-15,1.440761435505066991e-17
2.414424757987681862e-18,1.669339687976637728e-16,9.803397196883098959e-15,4.295157667397404536e-17
2.211602038803506355e-18,5.280045523852364855e-16,3.102796571170176542e-14,1.359343246785088665e-16
1.197988770393035087e-18,1.406555648890111081e-15,8.268399107115512919e-14,3.621381055040580578e-16
2.086729666404394192e-17,3.392927324859896116e-15,1.993970942400904544e-13,8.732391335187971198e-16
4.239270592979187047e-17,7.437669425714365740e-15,4.370538456128378391e-13,1.914548106223980276e-15
5.828612081938936863e-17,1.491045333430581910e-14,8.761798506175380102e-13,3.838934755043968913e-15
2.763195600877955366e-16,3.274784799042689070e-14,1.924279445653110185e-12,8.427133544053082415e-15
8.241445957859450563e-16,6.822459012516029782e-14,4.006805000005231988e-12,1.755811057127622937e-14
1.392702690712559161e-15,1.268611557959843086e-13,7.450002195346119123e-12,3.265544822424044180e-14
1.488792548440969868e-15,2.211461521867707159e-13,1.299433414278942096e-11,5.692195851619165050e-14
1.294500479182885198e-15,3.639607309943311289e-13,2.139329583611037509e-11,9.368556113792329247e-14
1.574115987805386358e-15,5.699718352493627165e-13,3.350156483568645785e-11,1.467325003791773926e-13
5.557791247870890157e-15,9.137455878729759567e-13,5.369142087817151179e-11,2.352091155641218080e-13
6.042541682032418340e-15,1.407292661317738656e-12,8.271166860911357054e-11,3.622473613913600652e-13
8.037811903397744615e-15,1.996247320726653055e-12,1.172981461042107475e-10,5.139889239587674202e-13
