# Flux, Flux Uncertainty, Sky Flux, Sensitivity Curve
1.872976659474308470e+00,1.717951655084151241e+02,1.374934504098140860e+04,2.458848045426016427e+01
3.049973492048647095e-01,6.276289175900295447e+01,5.022603628328259219e+03,8.986034426633422001e+00
1.449555925648515244e-02,2.343873565082613197e+01,1.876417983087995935e+03,3.355951731640772095e+00
4.428601375649560135e-02,8.943904311042778943e+00,7.157783966045423085e+02,1.280501905493441450e+00
3.210049517215513883e-03,3.486031000093699816e+00,2.791470415256022193e+02,4.990764899523627562e-01
1.151387393617368110e-02,1.387702307531528678e+00,1.110557429264748919e+02,1.986468245200330440e-01
1.047697465126005197e-03,5.638583775310029855e-01,4.514022900981463948e+01,8.072886653633427889e-02
1.844552037160065126e-03,2.339664221418847334e-01,1.872771246178438176e+01,3.348988717815153116e-02
3.366931372569433836e-04,9.905894651980615140e-02,7.933840755444608206e+00,1.417884362299263318e-02
5.115623811695918952e-07,4.279772766564916842e-02,3.430487420848889801e+00,6.125122015366957044e-03
1.248802214603587425e-04,1.885651448446784562e-02,1.509453975240109269e+00,2.699229378793430254e-03
1.019347012091263846e-04,8.476901682736731961e-03,6.785070212883720364e-01,1.213165568962559998e-03
2.335215091738259753e-05,3.884376588324999977e-03,3.110344925226418700e-01,5.559804537236271100e-04
1.893700362656367114e-05,1.814833130472548635e-03,1.452544046794941035e-01,2.597537762046309433e-04
2.708886837847896041e-08,8.641175714271086142e-04,6.923240288027916745e-02,1.236888800017148617e-04
1.120290767283370304e-07,4.191801525791202993e-04,3.356238906865650906e-02,6.001630228869342165e-05
1.418023050323862612e-06,2.072431851970820294e-04,1.658744279950129241e-02,2.966748680025879027e-05
7.926745561179587345e-07,1.043460257954561643e-04,8.351177147824731181e-03,1.493716542508550305e-05
7.117555699254532519e-08,5.349236314976222348e-05,4.283189107705337451e-03,7.658333992546320656e-06
4.390727551183794470e-08,2.792135327878167859e-05,2.235547297139899980e-03,3.997437388501096791e-06
1.408556686661690337e-07,1.483856599151986106e-05,1.187841828408517592e-03,2.123795400007620479e-06
3.083947721118450327e-08,8.022031785145965817e-06,6.424973480557079645e-04,1.148231637281734767e-06
1.566837819269910526e-08,4.411754594550677385e-06,3.532010065354809596e-04,6.315884284879471678e-07
1.777133315454084464e-08,2.468622453090853591e-06,1.976039555700769760e-04,3.533689975766476509e-07
2.398127654864522650e-08,1.404962370035239929e-06,1.124119990228689657e-04,2.010545732336021401e-07
3.553441581953768441e-09,8.124564434751315098e-07,6.504777129786919003e-05,1.163033201132137375e-07
2.488231222085050446e-09,4.778198343375712762e-07,3.827371907385043552e-05,6.838551682211755809e-08
2.489164130227028103e-09,2.854719857509230060e-07,2.284766212623654989e-05,4.086307483955870582e-08
2.753748106132812748e-09,1.733503996146606734e-07,1.387065429804970140e-05,2.480810959730475247e-08
9.376453511481388186e-10,1.068826610706063167e-07,8.555401769863472405e-06,1.529863402832894678e-08
4.803503728121957016e-10,6.692698424358877797e-08,5.356270185856526937e-06,9.580946949135823266e-09
7.939652098621059547e-11,4.255848937385271842e-08,3.408761484543800574e-06,6.092019118303545238e-09
7.263466828334122441e-11,2.746981985014829044e-08,2.200282384554701944e-06,3.931978853959833479e-09
4.579981222013744157e-11,1.799110543151046865e-08,1.440726128440397358e-06,2.575479158229971074e-09
1.065188910063609515e-10,1.195884071563532022e-08,9.574246663571277697e-07,1.711597003896525512e-09
1.060657612861365121e-11,8.059427434239215936e-09,6.453545886277509520e-07,1.153827998601148165e-09
1.707094950534804557e-12,5.509778153848240874e-09,4.412298688668691208e-07,7.888164843178449606e-10
1.114556628954532727e-12,3.819553298140287389e-09,3.059583549138220571e-07,5.467707914690479199e-10
3.443659292933795774e-12,2.683301610429089153e-09,2.148360936992217527e-07,3.841739736159006049e-10
7.186739266451462091e-12,1.910851529080017441e-09,1.529858444289126897e-07,2.735536801615635792e-10
3.779819439424341205e-12,1.378542866373699796e-09,1.103736015010677544e-07,1.973547855117303860e-10
1.135222848204442955e-11,1.007720869073067670e-09,8.066070352913399590e-08,1.442253271282093757e-10
7.583966219402172221e-12,7.458111849848289260e-10,5.970639283085214102e-08,1.067387891697346345e-10
6.930089310514214015e-13,5.586428858795153742e-10,4.472861703312472229e-08,7.998117514670310962e-11
1.487994981092038040e-12,4.238126384591577143e-10,3.394401583827701306e-08,6.066465957502012969e-11
1.737331638558613031e-12,3.253211808797302629e-10,2.605054819972286245e-08,4.656544239094882143e-11
1.216371325945472038e-12,2.526173021697267689e-10,2.022314210108626596e-08,3.616337869798506214e-11
1.483723347792390834e-12,1.984700223160611759e-10,1.588799413091985529e-08,2.840852463579793418e-11
1.318598790386282929e-12,1.576969003289230741e-10,1.262840362313718498e-08,2.256834411623380715e-11
5.100883860699207186e-13,1.266315097082283877e-10,1.013995364700048205e-08,1.812670094916014353e-11
6.658873302369767609e-13,1.028049252926372843e-10,8.229360651260463198e-09,1.471642872866324467e-11
8.342234221084196352e-13,8.436577072465329733e-11,6.754762839659448692e-09,1.207388433582101271e-11
1.448682673541728010e-12,6.994574651060740078e-11,5.596126435162211907e-09,1.000803103190639701e-11
1.406891573058514788e-12,5.857520896368920075e-11,4.687281620491284227e-09,8.379213684742292833e-12
3.866658187991397153e-13,4.950684535997167054e-11,3.965649136190310238e-09,7.084457834093987549e-12
3.849071720469184699e-13,4.224910948230217596e-11,3.381970858625301262e-09,6.047198843779086890e-12
2.520436567090892231e-13,3.639844504880125761e-11,2.913986866033972641e-09,5.210045327944130606e-12
1.960177696073991159e-13,3.164481644582465079e-11,2.533652042094735456e-09,4.529638333368223473e-12
3.722884367998362206e-13,2.776215124994304966e-11,2.222124317838630812e-09,3.972969943819339335e-12
2.412863375941647293e-13,2.455374462877225801e-11,1.964896450862326496e-09,3.514726326881498850e-12
