# Resampled Flux, Resampled Flux Uncertainty, Resampled Sky Flux, Sensitivity Curve
nan,nan,nan,nan
1.827282196819774406e-13,1.753115161913794044e-11,1.029666695744476493e-09,4.512338844437407764e-12
7.600117691157136902e-14,1.650559030615768144e-11,9.698926102897800757e-10,4.249318436329672132e-12
5.683311684505503627e-14,1.560010032216046215e-11,9.167337796700828205e-10,4.016500348107532231e-12
8.779242546356132146e-14,1.479889257161032819e-11,8.694126407911156136e-10,3.810217120636271133e-12
1.315000231800518064e-13,1.409240219094910815e-11,8.277866550952282179e-10,3.627326171623686097e-12
1.179493479122547198e-13,1.346257040691179709e-11,7.908623842745570938e-10,3.465127795110081157e-12
3.233736238036518197e-14,1.290185859076884098e-11,7.583914636180324689e-10,3.321296971816297200e-12
9.701700964272272025e-14,1.236932228795569266e-11,7.267407276977518968e-10,3.183654845686310906e-12
7.258965832897177955e-14,1.193111485547102105e-11,7.009649320209084949e-10,3.071700480478689221e-12
1.009588587721082987e-13,1.155553492382228560e-11,6.788766495580907559e-10,2.974107698536754273e-12
5.485559637551979392e-14,1.121893904324375931e-11,6.592840185606345362e-10,2.888033308069100478e-12
3.674574123452506982e-14,1.092322385731939750e-11,6.419190282562420709e-10,2.812381029626608942e-12
2.590374960234780998e-14,1.066640204585209094e-11,6.269166889078493268e-10,2.746191581138014708e-12
4.392221965168566330e-14,1.044275481717789706e-11,6.136342284820526491e-10,2.688623535362571286e-12
7.227150273075927877e-14,1.024846064083578081e-11,6.020080445410670127e-10,2.638625355870947697e-12
1.329607080692947482e-13,1.007675636288877033e-11,5.918173351739074320e-10,2.592906747479356356e-12
3.010634899326151069e-14,9.936522988463269454e-12,5.839788256163346747e-10,2.558230261643485420e-12
3.070660109087297936e-14,9.826620689533044731e-12,5.775940468236862287e-10,2.529576244787323933e-12
5.782364777397197578e-14,9.737577056202596564e-12,5.722005878829823800e-10,2.506503832449674687e-12
5.892090793350642555e-14,9.668203471446451402e-12,5.681198634372707588e-10,2.488617700251314512e-12
1.064113181551792525e-13,9.619399863860345681e-12,5.650267402383551095e-10,2.475561499682212055e-12
1.055938694607718991e-13,9.584001542225077838e-12,5.628271596913111609e-10,2.467012060956929692e-12
4.896164152554253188e-14,9.568074052512937904e-12,5.623423247792163549e-10,2.462673685547286840e-12
2.558001429544892311e-14,9.565862356418086233e-12,5.622627479763311981e-10,2.462624596590612024e-12
5.408819225558528214e-14,9.582084930677085862e-12,5.630730835666642176e-10,2.466532841642632402e-12
3.944195229118415661e-14,9.609461369144536792e-12,5.647290971757900069e-10,2.473834514670218148e-12
5.828780089827610391e-14,9.649815982921335063e-12,5.669479333820667698e-10,2.484307896268147952e-12
8.481372902778958601e-14,9.704028225229057122e-12,5.700654770437446926e-10,2.497739330912068483e-12
1.225696344589830586e-13,9.768546952242567691e-12,5.736917210029107096e-10,2.513920478449815438e-12
1.217587298615169621e-13,9.841310149784456729e-12,5.779781552995994979e-10,2.532645780912082488e-12
2.682931274482778615e-14,9.919290168115926207e-12,5.830084424505208224e-10,2.553710124475074033e-12
1.425135438789519408e-13,1.002258166797536055e-11,5.885465481498434031e-10,2.579035539644849171e-12
1.135758864846893169e-14,1.011806624193070911e-11,5.948404556146043413e-10,2.604737592562094415e-12
4.928931043600442123e-14,1.022508620837889232e-11,6.009759738442197033e-10,2.631804196016900941e-12
5.681433324789523764e-14,1.033578129420835373e-11,6.074292951225726602e-10,2.660295802041784152e-12
6.118411519710061590e-14,1.044939503566283857e-11,6.139754320452288743e-10,2.689977754672530556e-12
6.546486866290695575e-14,1.056918226140819399e-11,6.210369668786393391e-10,2.720605114178089820e-12
3.756317826427850885e-14,1.069096042384915605e-11,6.284085331197087552e-10,2.751921647285844709e-12
1.413766787525157525e-13,1.082129267197660817e-11,6.357480857697812588e-10,2.783659035315987642e-12
2.144206011020793542e-14,1.094048457080759588e-11,6.430227571527772362e-10,2.816892232489333048e-12
9.991694693196975176e-14,1.107813748189858659e-11,6.510488676421013693e-10,2.850202969671919056e-12
6.777963158773008844e-14,1.119527773895506466e-11,6.579484479293765819e-10,2.881314645674029398e-12
1.001863117514192586e-13,1.131413048849283752e-11,6.647840903605236453e-10,2.911566973177915943e-12
7.685482650463161769e-14,1.142362161067011722e-11,6.711922167752512710e-10,2.940625387546914151e-12
7.589528565346290877e-14,1.153034147177740487e-11,6.774678210693459532e-10,2.968144670307919541e-12
2.424268842444946717e-14,1.162904993928565916e-11,6.835878085366046677e-10,2.993770402780216142e-12
1.528778684995379828e-13,1.172481947683373524e-11,6.885882037331076107e-10,3.017140801529955627e-12
3.335414446399261403e-14,1.179914401765981255e-11,6.934450703736258806e-10,3.037888944677036105e-12
7.609397209021541921e-14,1.187600397538323156e-11,6.978809075927432142e-10,3.056696392734124696e-12
1.112362092001396619e-13,1.193079672289104299e-11,7.008473616656553842e-10,3.070800538335982037e-12
2.148036583468188108e-13,1.197746855908211458e-11,7.033255152238129129e-10,3.080759605788260619e-12
9.639381604624928751e-14,1.199436579801178447e-11,7.048266379047694574e-10,3.086615784543271194e-12
6.632138629296490823e-14,1.199894224058411650e-11,7.051349127651121500e-10,3.088526643809135587e-12
6.477316624283354659e-14,1.199370184220251404e-11,7.048176882867135299e-10,3.087261837677822187e-12
7.489008114051494758e-14,1.198050882856229929e-11,7.040044621738110702e-10,3.083714091967894436e-12
1.132965166106608144e-13,1.196146830063630641e-11,7.026208151613299056e-10,3.078779390782895658e-12
9.331377728331326350e-14,1.194195996828926395e-11,7.017107666279225116e-10,3.073351815076005886e-12
1.606802422249125212e-13,1.192199282291808675e-11,7.000970381101657241e-10,3.068024367372580283e-12
1.782625955533401353e-14,1.190352184917343615e-11,6.997354938283041384e-10,3.064571571685867188e-12
5.012237498195604400e-14,1.189977702828380233e-11,6.992964741141632531e-10,3.063538399457678474e-12
5.041622132515102819e-14,1.190862340543794123e-11,6.998243915745508921e-10,3.065755008815314675e-12
8.529917170754097469e-14,1.193596450783731793e-11,7.013421539998146286e-10,3.072118704277487562e-12
5.073961677240242038e-14,1.197881082013171049e-11,7.040168223346375742e-10,3.083549200664932109e-12
4.862761444462639521e-14,1.204778397737844563e-11,7.081735532249609423e-10,3.100919230464223088e-12
3.979076243022612233e-14,1.213717324313004643e-11,7.134385595920029498e-10,3.124191880760229020e-12
8.003350127068848617e-15,1.224470306205756325e-11,7.199011635574863316e-10,3.152223254308683170e-12
8.508840273003806315e-14,1.237773806723117525e-11,7.273711124301975210e-10,3.185602109628951903e-12
5.073658829147520209e-14,1.250702303443485790e-11,7.350240895024113969e-10,3.219750039670734689e-12
6.807132764867661297e-14,1.263619115971701461e-11,7.424965532681083026e-10,3.252979446983871107e-12
7.747445754988745552e-14,1.276271874754371186e-11,7.501016156634937524e-10,3.284540861681094981e-12
7.863249363052913874e-14,1.287181028589668974e-11,7.564780783119725091e-10,3.312756445495670049e-12
1.351467153689369437e-13,1.296493601843142339e-11,7.617383671039977401e-10,3.335901258893149090e-12
8.867641788035613774e-14,1.302522372822330054e-11,7.654361934998081831e-10,3.352223941825723120e-12
1.684494558427317823e-13,1.305886762561474980e-11,7.670490061524224113e-10,3.359975863657412703e-12
1.849759099123745698e-13,1.304538935837105694e-11,7.659262023374594751e-10,3.357448576057612999e-12
6.876015378360524206e-14,1.298407326401929036e-11,7.629688839299495427e-10,3.342469354997704519e-12
4.200169397942026180e-14,1.285891155768870990e-11,7.558293049728646196e-10,3.310121379038341009e-12
4.758449609161730443e-14,1.266650952531757803e-11,7.443637587896113229e-10,3.261060442066796803e-12
3.400881974089228327e-14,1.239768908716562489e-11,7.287170784310555770e-10,3.191581107996826174e-12
3.290401885171705789e-14,1.204182074850617049e-11,7.078635253685237081e-10,3.099716409412556030e-12
5.222636942016232467e-14,1.159384329659524149e-11,6.814053326606243801e-10,2.984297611377816359e-12
4.121844991572748662e-14,1.105309870966764785e-11,6.496866692023941038e-10,2.845105712843733661e-12
5.984554758008321733e-14,1.042319929768617212e-11,6.125050401733802805e-10,2.682985575671671396e-12
1.685332238230255902e-14,9.710081650535224533e-12,5.707665991932910080e-10,2.499903517154491476e-12
2.745845011083174367e-14,8.930245748135251980e-12,5.248859796300040917e-10,2.298931857638776311e-12
5.306126219707747536e-14,8.070791527469344010e-12,4.743096258241841232e-10,2.077063094152917743e-12
1.357428703291481627e-14,7.167808206818007220e-12,4.214494618181922563e-10,1.844829042582300855e-12
3.809043455873075666e-14,6.320383336660732456e-12,3.715186779546769127e-10,1.626367063744011369e-12
3.083377415056613406e-14,5.505128213178432463e-12,3.235252485590594939e-10,1.416974250493624877e-12
1.838139566438793866e-14,4.743973815883822018e-12,2.788077527556366620e-10,1.221247580911443304e-12
1.994260566191897913e-14,4.048538560299374042e-12,2.379035662274142107e-10,1.042223207064842383e-12
2.933959787918537895e-14,3.424957314497448160e-12,2.012041872704603827e-10,8.815575748991201600e-13
1.092863956251887321e-14,2.873382131864303823e-12,1.688569257360720200e-10,7.397639620756633489e-13
5.652406278786667003e-15,2.394681660413457707e-12,1.407630093215075126e-10,6.164685941760714172e-13
7.245247036508496588e-15,1.983438357114774455e-12,1.165588831356645650e-10,5.106590178304785924e-13
7.759672178034288520e-15,1.629702849282911192e-12,9.577481928881800045e-11,4.195189541837680258e-13
2.988070987793930636e-15,1.323523508207248677e-12,7.780756587227224134e-11,3.406844851588782649e-13
1.254074032990704879e-14,1.086606734153380810e-12,6.382845418215548500e-11,2.796072770669291164e-13
2.352080189972440865e-15,8.899910238056127022e-13,5.231029832056816823e-11,2.291235531420386569e-13
4.299409176606449298e-15,7.290729293355971193e-13,4.284610576073751708e-11,1.876505844338964029e-13
5.431755108695675908e-15,5.974483005255956018e-13,3.510124022531783901e-11,1.537546783815404196e-13
2.518957179535909903e-15,4.900853322791955622e-13,2.879734274178736569e-11,1.261683132657386644e-13
1.676119551436955884e-15,4.031726666370466054e-13,2.369349470008426472e-11,1.037928957178254020e-13
4.116413595613592096e-15,3.330309865674425250e-13,1.956084509564655308e-11,8.569633429555443189e-14
2.910765285758774366e-15,2.762792885599628915e-13,1.622866013715371598e-11,7.110340328280782798e-14
2.234584596246914643e-15,2.307130652190503970e-13,1.355544979209120807e-11,5.936790732657299893e-14
1.142959608541319085e-15,1.925539359399345107e-13,1.131693355211925122e-11,4.955504685777559946e-14
1.479816660237551916e-15,1.632990908090165115e-13,9.597062788272829734e-12,4.201271979787440964e-14
7.357177234530987555e-16,1.405060250588132802e-13,8.258480434684049009e-12,3.616138467600323687e-14
1.086978775616893712e-14,1.229723582050412285e-13,7.191080029375254422e-12,3.149431720062837412e-14
2.102023353461754894e-14,1.091847661861011308e-13,6.343280335835556502e-12,2.779364797928227885e-14
1.186727737160938975e-15,9.673548426122846652e-14,5.682859817579044233e-12,2.488811094062388906e-14
1.027383944256374175e-15,8.802293155708031457e-14,5.171614987808066278e-12,2.264536638685542655e-14
1.548267185604635186e-15,8.152271541209842480e-14,4.787091243224578008e-12,2.096593384218814985e-14
1.813098051970716708e-15,7.691251720823594627e-14,4.514453977101267247e-12,1.977760578447347311e-14
1.293034646508229852e-15,7.385728842329502094e-14,4.336137381576055415e-12,1.900163224663889312e-14
2.460332847737086194e-16,7.200889322356300813e-14,4.233413176934060200e-12,1.853238090876454900e-14
