# Resampled Flux, Resampled Flux Uncertainty, Resampled Sky Flux, Resampled Sensitivity Curve
nan,nan,nan,nan
2.540429615299812371e-01,5.586538418880957835e+01,4.470758618721909443e+03,7.998510679074811058e+00
2.319481735406320536e-02,1.920602819395956118e+01,1.537493871638730070e+03,2.749889353296635086e+00
2.751248259298573126e-02,6.715160329905802250e+00,5.374782695833365551e+02,9.614037710422791427e-01
7.564726584966191721e-03,2.385629139808438381e+00,1.909968969215224206e+02,3.415256906431552442e-01
4.813344305388140773e-03,8.602708544711205052e-01,6.885610532731762135e+01,1.231548075779179130e-01
1.649898905359623111e-03,3.145513927574750679e-01,2.517967903792060014e+01,4.502927667008214951e-02
5.312615219392517957e-04,1.164668947137931371e-01,9.326640958769690570e+00,1.667066732831305048e-02
1.775583440768855847e-05,4.118031607580723702e-02,3.300551841308681400e+00,5.893718541431672113e-03
1.199460354404882515e-04,1.662449098632032621e-02,1.330767817831129962e+00,2.379667425313245366e-03
7.606671777533614278e-05,6.965123780130404001e-03,5.575415747459271376e-01,9.968318713309580123e-04
2.139601498152898714e-05,2.967463049079282784e-03,2.375854395423956933e-01,4.247368935691597943e-04
8.410880258006857131e-06,1.285621370880292436e-03,1.029370817356236451e-01,1.840138322716829557e-04
8.399593595827174174e-08,5.660245451082798447e-04,4.533469970783875203e-02,8.103040584339742385e-05
1.134638725345574283e-06,2.532308510315227183e-04,2.027079340240161079e-02,3.625279941652072367e-05
8.518691076239264879e-07,1.146482453342456936e-04,9.175825465370898368e-03,1.641199716178762621e-05
6.788952598783361138e-08,5.041086601481143743e-05,4.036433019287274764e-03,7.217168686458084977e-06
6.644369513269996800e-08,2.488015605494672139e-05,1.991999886871682370e-03,3.561894511532135571e-06
1.029953001754255988e-07,1.249276131068185443e-05,1.000169971134686094e-03,1.788070239424043768e-06
2.392847492249978756e-08,6.377415670216593534e-06,5.107120584126636749e-04,9.128813575125013131e-07
1.686005226813465880e-08,3.310646753374995663e-06,2.650293741352760502e-04,4.739308042804059303e-07
2.197870604179736031e-08,1.747969411558478609e-06,1.398845360131531924e-04,2.501726335119735984e-07
7.882022109107889982e-09,9.380061955713950668e-07,7.508407099132284775e-05,1.342617882772161092e-07
2.596451552668393399e-09,5.101900953860409484e-07,4.086333434652035735e-05,7.302090275235138377e-08
2.520440184012875673e-09,2.722182701903063957e-07,2.178650421329352788e-05,3.896524276288957064e-08
2.340227851929934410e-09,1.582159277002343474e-07,1.266038986197895358e-05,2.264283522402066993e-08
7.835775018723682182e-10,9.342114173029544401e-08,7.477578163552073920e-06,1.337228059595864270e-08
3.015839404511995529e-10,5.606222045585844809e-08,4.487967809061378196e-06,8.025398403480339601e-09
7.564692956886983639e-11,3.419150058671673238e-08,2.738634071174981711e-06,4.894230761740151888e-09
5.484539558885401390e-11,2.118622230860870188e-08,1.696759901147427057e-06,3.032732629553349416e-09
9.261658718562563666e-11,1.333999435768012518e-08,1.068081874885325495e-06,1.909392365995791298e-09
2.222267871763568820e-11,8.531691968479974375e-09,6.831499232778331707e-07,1.221380345708465265e-09
1.771989997156219500e-12,5.385798480488691693e-09,4.313085438709235357e-07,7.710607499679407067e-10
1.582238911823156343e-12,3.591394706661886618e-09,2.876610648011631664e-07,5.141214573985551986e-10
