# Flux, Flux Uncertainty, Sky Flux, Sensitivity Curve
5.482390912885464340e-37,5.158776729833083468e-35,3.029621260920082352e-33,1.327927343703632214e-35
2.192356791707794130e-35,1.872780554072709499e-33,1.099834918841219728e-31,4.820112401070934955e-34
2.329183265734784350e-34,5.752479393340413058e-32,3.380397223968805113e-30,1.480984582444752664e-32
9.050715607433048529e-33,1.502757025099073749e-30,8.829377921788774287e-29,3.868641424819950320e-31
7.598719881526417453e-34,3.350980826924677328e-29,1.969704672167761213e-27,8.629179372868610361e-30
7.399867749866584646e-30,6.412233701188147193e-28,3.765176953830157742e-26,1.650656567164862794e-28
8.490422875032116904e-29,1.056582357222747770e-26,6.207675388747390207e-25,2.719431165462769075e-27
1.355758828860805272e-27,1.505495791881029979e-25,8.843715049719307673e-24,3.875041730237344958e-26
2.807103280410973379e-27,1.863009901095546777e-24,1.095217288552550952e-22,4.796004777249694757e-25
1.666469445636714940e-25,2.011593658677506453e-23,1.181868206738620777e-21,5.177271410379917755e-24
9.091865894652285972e-25,1.901057337329019444e-22,1.116952836776444954e-20,4.894845154543591085e-23
1.735758902647845887e-23,1.581439431596123837e-21,9.289156508647568780e-20,4.069844679344940415e-22
4.697010327774548640e-23,1.160737862611546056e-20,6.821759964489099767e-19,2.988047018725872506e-21
4.515310531445063413e-22,7.555735370548686176e-20,4.439601377749879517e-18,1.945017233707903587e-20
5.405926239819382104e-22,4.376650712276095228e-19,2.572302100974656902e-17,1.127009672280225891e-19
6.865452516705302573e-21,2.267000598564973545e-18,1.332445477088701446e-16,5.836169270237564762e-19
4.779883230195155333e-20,1.053204044495048819e-17,6.188392384423725007e-16,2.711679440809149305e-18
3.210643744184234491e-19,4.407971457142888166e-17,2.589219894164415173e-15,1.134905455328682135e-17
2.414424757987681862e-18,1.669339687976637728e-16,9.803397196883098959e-15,4.295157667397404536e-17
2.186241581548614453e-18,5.731519359619082945e-16,3.368183390131423849e-14,1.475606603064723188e-16
7.382975290102537861e-19,1.794217978857086254e-15,1.054776145302156629e-13,4.619499866767343509e-16
4.287023850102984771e-17,5.140471180287992874e-15,3.020601643487123388e-13,1.322817928541896960e-15
4.113103936694821384e-17,1.350698990570578027e-14,7.937143628307238651e-13,3.477930845691571025e-15
2.763195600877955366e-16,3.274784799042689070e-14,1.924279445653110185e-12,8.427133544053082415e-15
9.039347400376042226e-16,7.339174056198152312e-14,4.310122671819483825e-12,1.888802783807700380e-14
1.628743630768390214e-15,1.526831660539009443e-13,8.966345714539262749e-12,3.930415513230643538e-14
1.335561722556884797e-15,2.961054860709281170e-13,1.740453221520104482e-11,7.621148824244541331e-14
1.189900730759312478e-15,5.368157389043501176e-13,3.155430502591996361e-11,1.381991578683997948e-13
5.557791247870890157e-15,9.137455878729759567e-13,5.369142087817151179e-11,2.352091155641218080e-13
6.099080596601508717e-15,1.464857572774876775e-12,8.609644805767990834e-11,3.770644796890610326e-13
8.850455878283971744e-15,2.218986116698810589e-12,1.303767361258643151e-10,5.713825525964034112e-13
2.737323534328633054e-14,3.191050913622255830e-12,1.874698530330060694e-10,8.213225064767867423e-13
3.872396727284232747e-14,4.365990377438130883e-12,2.564693506883273804e-10,1.123802203558476848e-12
8.222579742459997689e-14,5.707944250023837625e-12,3.351781837056101534e-10,1.468784460760970780e-12
8.416751073308065440e-14,7.149495460958309807e-12,4.199062395549325260e-10,1.839965440501553773e-12
1.260696879121267411e-14,8.610184741201702994e-12,5.061160536400716557e-10,2.216791827197943825e-12
1.591816537660300421e-13,1.001660057095127511e-11,5.881098621775436006e-10,2.577347886331960907e-12
2.671451796979741622e-15,1.127020118839530392e-11,6.626228466914529241e-10,2.901432112134073649e-12
5.687743125894431944e-14,1.232765537534508028e-11,7.245330889277038433e-10,3.173150102139809739e-12
6.941194413098196738e-14,1.314348349207652461e-11,7.725529285527352370e-10,3.382552967281121767e-12
7.943561627098072043e-14,1.369747854060612043e-11,8.048249945902728733e-10,3.526150276285026326e-12
8.274505525708282831e-14,1.400942016375745144e-11,8.231502428453536863e-10,3.606411544537782158e-12
8.976050443534607864e-14,1.410483319020761136e-11,8.288083725624743597e-10,3.630561201408189889e-12
3.477153287452536358e-14,1.402063192958160085e-11,8.242204678970173678e-10,3.609041189776923301e-12
2.086347782238362917e-13,1.381762539619476373e-11,8.116848452001274641e-10,3.553980616042174911e-12
9.448563831874786263e-15,1.350633344749288527e-11,7.938624132157632412e-10,3.477915437264562485e-12
1.302344440603499535e-13,1.318843585051588961e-11,7.750463689043917176e-10,3.392887958078633324e-12
5.508915120283249974e-14,1.285973597711979248e-11,7.558711131047919050e-10,3.309959188217889475e-12
1.403063215483490642e-13,1.258835753070552803e-11,7.395324025907859982e-10,3.239103841895777115e-12
5.974275292599949170e-14,1.239138780740041509e-11,7.282909208472765916e-10,3.189431101579767044e-12
1.097154680496575258e-13,1.231106675666062723e-11,7.230631279131855124e-10,3.169424436906698017e-12
5.958497305054456903e-14,1.235983115503164042e-11,7.264144610809399706e-10,3.181440559867125453e-12
9.394001995511765266e-15,1.251408488538955724e-11,7.356771306566221970e-10,3.221840622282715211e-12
2.122004986923474901e-13,1.277656410556320703e-11,7.501379123704986848e-10,3.287311473125221898e-12
1.167712297605903962e-14,1.310675607142235291e-11,7.704026756650344683e-10,3.374877210311962544e-12
8.827956905163436580e-14,1.352735191816230818e-11,7.949308705251749157e-10,3.481634237766587227e-12
9.152816196622474235e-14,1.400183003383544968e-11,8.226303186325325774e-10,3.604524789259786374e-12
3.161640840887058660e-13,1.454344500787594258e-11,8.537436458376176616e-10,3.740142347474763395e-12
1.263124870162339565e-13,1.509625764450734099e-11,8.871359111939704648e-10,3.884569219248168746e-12
1.176943716212680276e-13,1.567110434274950205e-11,9.208298691532254987e-10,4.033252235426310796e-12
5.578407063111089045e-14,1.624084819847637085e-11,9.545312382034041932e-10,4.180927166865519612e-12
