# Flux, Flux Uncertainty, Sky Flux, Sensitivity Curve
1.778211641204647613e-11,2.858106371844046073e-09,3.747264219098222177e-12,6.917076293536592035e-02
1.705483206323995741e-11,2.743568691936177135e-09,3.595040015142782285e-12,1.393962126540089670e-02
1.641280370076402510e-11,2.635667945253212502e-09,3.457811318956194901e-12,1.249076756978817343e-01
1.581145151727818993e-11,2.543217512897256452e-09,3.334111601956963454e-12,2.267492815220317325e-03
1.528438646521458346e-11,2.457161397100493987e-09,3.222651014619153511e-12,3.342950509261646136e-02
1.481809002320771483e-11,2.380641300376065839e-09,3.122292958015843914e-12,9.532236103477270683e-02
1.438818428728537313e-11,2.312724081578594200e-09,3.032034016369711909e-12,6.607099839987175260e-02
1.400225679817138874e-11,2.252186761358942248e-09,2.950986726418303202e-12,3.100259553127023004e-02
1.365024000809728940e-11,2.194634935463694767e-09,2.878364745846986033e-12,2.423917862774018286e-02
1.335089899849595767e-11,2.144123402387898461e-09,2.813470054395009872e-12,1.076396693963985740e-01
1.306657423095807103e-11,2.100104313367891698e-09,2.755681880265199377e-12,3.292435422627664615e-02
1.283935288743013986e-11,2.064726724727556023e-09,2.704447093406131559e-12,6.417555284400867921e-02
1.261574246808462259e-11,2.030073212305602828e-09,2.659271847904095676e-12,9.550156213068121543e-05
1.243075252404734477e-11,1.998740466069216938e-09,2.619714289595855552e-12,4.837617637243196017e-02
1.226321764024972423e-11,1.972661971777280654e-09,2.585378173291341509e-12,8.400308945775310926e-03
1.212493935308151664e-11,1.947790680237650729e-09,2.555907257662168147e-12,7.961702677326175370e-02
1.201662918358535866e-11,1.931179537763753158e-09,2.530980365704858365e-12,1.001909288744717297e-01
1.190607487627698184e-11,1.915288064552709812e-09,2.510307015389297376e-12,2.408488191745091454e-03
1.183481644048060298e-11,1.902234256501463494e-09,2.493623539189873904e-12,7.485283974609295565e-02
1.176545297455631112e-11,1.888746642721219117e-09,2.480689623117860568e-12,1.022659696085179565e-01
1.173756477444833056e-11,1.884287327365010586e-09,2.471285205995521927e-12,1.688336414678460740e-01
1.171428280568497773e-11,1.878177730491059743e-09,2.465207688339715178e-12,2.529786483312587153e-01
1.167861378847556928e-11,1.878658560290299036e-09,2.462269407608658322e-12,6.046513149112856499e-03
1.168546588119470828e-11,1.877688662500168893e-09,2.462295342920628709e-12,8.555587352032342774e-02
1.170014500892905638e-11,1.881552738543256551e-09,2.465121017852094924e-12,5.225415356295077390e-02
1.171758248246688715e-11,1.884891382930285704e-09,2.470590574711033870e-12,4.903079876019048391e-03
1.176000004430631067e-11,1.892242011467792015e-09,2.478554997882442506e-12,9.428607442484509410e-03
1.180960953558516770e-11,1.894299738638445867e-09,2.488870467555701591e-12,1.614964096701706486e-01
1.186638554007798889e-11,1.907348646018561769e-09,2.501396828456709029e-12,5.222868245258871500e-02
1.194560711731410228e-11,1.919267523567368021e-09,2.515996161186174239e-12,1.123090663147957857e-01
1.202000842851859701e-11,1.933785323685451557e-09,2.532531446471904185e-12,3.351337567313741189e-02
1.209799504436600329e-11,1.945509718370559482e-09,2.550865315121160610e-12,1.742067293844667270e-02
1.220397694486428652e-11,1.962737458775582074e-09,2.570858878746966586e-12,5.686698077480151214e-02
1.229911506660305957e-11,1.978560862065110937e-09,2.592370638468920266e-12,1.649877528285944792e-02
1.240855510469715014e-11,1.996155668315700427e-09,2.615255470776293128e-12,2.106720179705771911e-02
1.252618200083894430e-11,2.012343909057666278e-09,2.639363691600579343e-12,9.773637080879012118e-02
1.264464652193989607e-11,2.031693574629576469e-09,2.664540201386122454e-12,8.657438180405134520e-02
1.276318109892772591e-11,2.051492895715398411e-09,2.690623715570736592e-12,4.826750609303295803e-02
1.290366707936669131e-11,2.074292602263179681e-09,2.717446086387529379e-12,9.234518429945895446e-02
1.302540016250097532e-11,2.095391910220890071e-09,2.744831723267345316e-12,2.856818690375648867e-02
1.316545692679509034e-11,2.118832945002373595e-09,2.772597120337477809e-12,3.727451007292847951e-02
1.330071684164868002e-11,2.138299736626334802e-09,2.800550500562589953e-12,9.795165316307255510e-02
1.343457717065686949e-11,2.157938309403467756e-09,2.828491586926466471e-12,1.439299474863933725e-01
1.356246647418540890e-11,2.177917470389653728e-09,2.856211511686165014e-12,1.419789007666859004e-01
1.368493786746981262e-11,2.199297801496172204e-09,2.883492875106111671e-12,8.109875648261670456e-02
1.380702939143046827e-11,2.217904839559001080e-09,2.910109965169631708e-12,8.924396928193982503e-02
1.393185137433411864e-11,2.239542908923035078e-09,2.935829149530227183e-12,6.267290774015804589e-02
1.406333015476868422e-11,2.261755577464163280e-09,2.960409450372967165e-12,9.166361958850717528e-02
1.415803863887381143e-11,2.278568410198756685e-09,2.983603311871867622e-12,6.290030776560620769e-03
1.426107556847017397e-11,2.292173105935089253e-09,3.005157568523864755e-12,7.043204868717373168e-02
1.436720149652554383e-11,2.310713556385486572e-09,3.024814620785102559e-12,8.411110206442984349e-02
1.443500563704967307e-11,2.322889579688275559e-09,3.042313822117991246e-12,6.581945950543615677e-03
1.450411486427606993e-11,2.331666698895473851e-09,3.057393078759600830e-12,4.626003274883178085e-02
1.457608551965772933e-11,2.341258165381461198e-09,3.069790660253758702e-12,1.301687111867929070e-01
1.460752014361879920e-11,2.350346164715647600e-09,3.079247215057133380e-12,2.514533481200901394e-03
1.463804934991743445e-11,2.355163359281321535e-09,3.085507981445849240e-12,8.715152069830405662e-03
1.465205794550296121e-11,2.355364156431837256e-09,3.088470721778439769e-12,5.026418094168533246e-02
1.466206393229744479e-11,2.358431783516277535e-09,3.088611430330434381e-12,4.930735622501703636e-02
1.464800879519987739e-11,2.354862081626730533e-09,3.086555027776357089e-12,6.343114786757632351e-02
1.464159822238817552e-11,2.351671876312780905e-09,3.082932382920164931e-12,1.424986828049586429e-01
1.460977181415336006e-11,2.350745021861690860e-09,3.078376472275793380e-12,2.395787148384428966e-02
1.460388925458500181e-11,2.345712026322986037e-09,3.073519811504393931e-12,1.629415858304395226e-01
1.455107937243221597e-11,2.338639324890249566e-09,3.068993174777168981e-12,3.275748902852158861e-02
1.454675007881396787e-11,2.339224427914365621e-09,3.065425607119637317e-12,4.618926174767586101e-02
1.455278311373814346e-11,2.336142055775432104e-09,3.063445731114278965e-12,1.815445382142598374e-01
1.454447516139437322e-11,2.339994186145684266e-09,3.063684353089654706e-12,4.209514952475491845e-02
1.456655498878790246e-11,2.341273152973007365e-09,3.066778385198391617e-12,1.146541369722588882e-01
1.458779206832885053e-11,2.348193636021129336e-09,3.073376118765959131e-12,1.013539130871854779e-02
1.463036957245436433e-11,2.351625758645007234e-09,3.084143911330863467e-12,5.103253385899663569e-02
1.471217910946867620e-11,2.366671456420131826e-09,3.099757661193789295e-12,3.775290963604086003e-02
1.481397217977024859e-11,2.380670075290671922e-09,3.120220898928885038e-12,1.008048766537738422e-01
1.492823738197368985e-11,2.399988186457289768e-09,3.144598322234183482e-12,7.684067308764155890e-02
1.504775015842255097e-11,2.420827217266599271e-09,3.171869068707661077e-12,1.340936996367239793e-02
1.518601209211807043e-11,2.443500453071888055e-09,3.200981117550109088e-12,5.129403626205686524e-03
1.533885753099780354e-11,2.462330356320837189e-09,3.230843063528286622e-12,1.513901811270052244e-01
