# Resampled Flux, Resampled Flux Uncertainty, Resampled Sky Flux, Resampled Sensitivity Curve
nan,nan,nan,nan
5.525287429805585038e-13,3.906050043709377401e-11,5.032875392713794750e-09,4.488108870866709447e-12
5.111044624620604246e-13,3.364888854950558630e-11,4.335338589287255863e-09,3.866270954906070804e-12
3.516355740531183399e-13,2.951073665696393059e-11,3.802643938484160288e-09,3.391047435722514789e-12
3.306264161774790774e-13,2.611718394059949689e-11,3.364936453877626948e-09,3.001216272564772885e-12
4.013475695411803445e-13,2.331148975592985457e-11,3.002261187462936205e-09,2.678905813610844541e-12
1.700590681963145118e-13,2.095619854590114465e-11,2.701499974183831870e-09,2.407848754027724327e-12
4.729020527179801939e-13,1.908042829474273279e-11,2.457715346251188755e-09,2.191792226134540780e-12
2.449919914758324419e-13,1.751348904908715670e-11,2.257163144629127719e-09,2.012058266539376193e-12
6.497400244532331410e-13,1.621759484704912943e-11,2.087672146449103005e-09,1.862369941634120499e-12
3.515025317005613152e-13,1.512549952445577923e-11,1.948096913128561697e-09,1.737691546388489991e-12
2.099486534403785716e-13,1.422099753143671268e-11,1.832346897595469328e-09,1.633970484968561190e-12
7.464909076563694341e-14,1.347120791844826580e-11,1.736724134880003277e-09,1.547934660840319570e-12
1.271326933249042390e-13,1.285815300664674015e-11,1.658244818166966749e-09,1.476933056902999313e-12
1.828002662693507664e-13,1.234993169454551837e-11,1.591643500957409835e-09,1.418809937966291621e-12
1.682855556410132322e-13,1.193961229725799519e-11,1.538580505009107208e-09,1.371805249983477868e-12
1.173374554160806257e-13,1.161208342778803234e-11,1.496220482407102507e-09,1.334475457707725678e-12
1.052008432735902042e-13,1.136715579277042348e-11,1.466127883436743590e-09,1.305630361626801578e-12
1.715152530430025880e-13,1.118058037536895670e-11,1.441244009077733068e-09,1.284282450279402120e-12
1.381533573274115990e-13,1.104826142019576291e-11,1.424164776097445379e-09,1.269252951504414701e-12
3.621489755196658607e-13,1.098169629875226008e-11,1.414455205529466043e-09,1.261073733161513957e-12
2.517013052574287282e-13,1.095738804587004200e-11,1.412250383330345774e-09,1.258352596474840443e-12
1.427155556272936045e-13,1.097186914737042039e-11,1.414133013523728740e-09,1.260548674179330565e-12
4.124040602228277257e-13,1.103494533039834595e-11,1.420842785435140352e-09,1.267206885721898563e-12
5.481713339445261530e-14,1.113181308111986038e-11,1.435712248141470635e-09,1.278870248708291361e-12
2.937483680650334672e-13,1.126950651027375578e-11,1.452006718879628841e-09,1.294268772003449573e-12
1.542827261627766655e-13,1.142632741139956904e-11,1.472514178016458035e-09,1.312830084849081240e-12
1.333885647303110997e-13,1.161754712125907029e-11,1.498148821430689889e-09,1.334405432774099619e-12
6.621340072119171890e-14,1.184871603279372900e-11,1.527478685706917255e-09,1.361541466055109089e-12
2.160567932319703737e-13,1.209199128323178681e-11,1.558213880519194031e-09,1.389091818364702796e-12
2.727373077338514694e-13,1.235166612230175885e-11,1.591888576910912668e-09,1.418555836232924279e-12
3.350992817104312209e-13,1.264963339393060551e-11,1.629577056353134599e-09,1.452885714783517132e-12
1.312591970291020507e-13,1.294407634412987101e-11,1.669061184332391036e-09,1.486937881961687248e-12
3.015572894512561871e-13,1.324323928575641678e-11,1.706891874260063641e-09,1.520866337566102623e-12
3.048341533411474326e-13,1.358306778165351867e-11,1.750788404907529002e-09,1.559858793962687896e-12
1.580561044791567691e-13,1.388615930667026761e-11,1.790472804995435313e-09,1.595113850146674770e-12
1.320652167009348370e-13,1.419492460277909511e-11,1.830396666870900503e-09,1.630676159136147740e-12
3.242401761319582373e-13,1.451597563764427760e-11,1.870583376120788999e-09,1.667240548316377449e-12
3.200379786892123773e-14,1.476974791963629935e-11,1.905260663906976422e-09,1.696844203547287992e-12
1.129621114488802805e-13,1.501794152197320093e-11,1.936538413417364522e-09,1.725339277316030573e-12
2.283892035514230599e-13,1.518352419757508602e-11,1.957213002417650233e-09,1.744155558004815577e-12
3.241253008526002769e-13,1.528503767552115159e-11,1.969800431713159305e-09,1.755600872320844403e-12
1.153341416563914235e-13,1.528466130967409412e-11,1.971231033475303249e-09,1.755822186577932053e-12
6.015901498866931946e-14,1.518527915133459292e-11,1.958018528586107720e-09,1.744871951443608419e-12
5.396119929366903134e-13,1.495858627034810895e-11,1.925901948473866183e-09,1.717953210289105158e-12
1.312927809884568943e-13,1.463134243980231055e-11,1.886400795189177804e-09,1.680964182936222955e-12
5.023427456377090847e-13,1.412301794356271181e-11,1.819411897024944644e-09,1.621476798680719265e-12
3.840282447552729684e-13,1.355912169908646611e-11,1.746307293120034348e-09,1.557450493746475470e-12
2.287948391537757698e-13,1.276132282934231533e-11,1.645409562859787246e-09,1.465510997748104437e-12
3.416414478357500599e-13,1.198697135907273197e-11,1.543871908925481624e-09,1.376831738526683706e-12
3.109257281960643028e-13,1.096539428042856829e-11,1.412492893050992617e-09,1.259404004986935550e-12
2.764737723448246421e-13,1.003123616264724035e-11,1.292379746944655959e-09,1.152039006770517576e-12
3.358442753934775135e-13,8.903851966207512154e-12,1.147188647744722489e-09,1.022091838413323103e-12
2.468259344607365347e-14,7.878740724912272432e-12,1.016580547530667336e-09,9.050019223400156359e-13
1.387888394296206370e-13,6.777485436731672222e-12,8.735160956512275862e-10,7.784255439337161865e-13
9.789556600820063948e-14,5.775628659509203826e-12,7.452080322027895884e-10,6.630412398130472850e-13
