# ADU, ADU Uncertainty, Sky ADU
3.109144343862526791e-02,1.763311619482947012e+00,2.282360415540711926e+02
1.385469670156026789e-02,1.762287960224054206e+00,2.281364814791797926e+02
1.763054118066200056e-03,1.762172647218164467e+00,2.282168913103471652e+02
1.411660536431866633e-02,1.762375581602632302e+00,2.281561942856397707e+02
2.625660694322614307e-03,1.762498865249794600e+00,2.282967998186200305e+02
2.366107689749628179e-02,1.762858811262808745e+00,2.281882608570292632e+02
5.297374840954050847e-03,1.762338098450303203e+00,2.282279417675578088e+02
2.248076504693264505e-02,1.763039444780732268e+00,2.282469356422679994e+02
9.692778808826831016e-03,1.763133103365080778e+00,2.283897297163433677e+02
3.409447558405336964e-05,1.763510869155608507e+00,2.285993496226588206e+02
1.888635330675632329e-02,1.762913337068957587e+00,2.282516822615583862e+02
3.429728794791210567e-02,1.763591787556348711e+00,2.282801622279772005e+02
1.714463997360461331e-02,1.763200538494755332e+00,2.283404931691234481e+02
2.975592923933274847e-02,1.763293932486460047e+00,2.282450391475029505e+02
8.936642893951733939e-05,1.763063266472044921e+00,2.284613068894590242e+02
7.618743134039727537e-04,1.762278529278754613e+00,2.282535492552297853e+02
1.950939664321807432e-02,1.762762344302630346e+00,2.282089026680759503e+02
2.166232160664130491e-02,1.762821788355211750e+00,2.281988318392630504e+02
3.793485283308078906e-03,1.762466117045289549e+00,2.282794686213958926e+02
4.483641691050269107e-03,1.762448047076468294e+00,2.282633049256966729e+02
2.706833985449237298e-02,1.763332348414699657e+00,2.282862983270043742e+02
1.096256798026025436e-02,1.763160324069100282e+00,2.283892913819184400e+02
1.012669075018380639e-02,1.762609918419917321e+00,2.282557247559345512e+02
2.052927420816079082e-02,1.762959044588645385e+00,2.282449057909678061e+02
4.868825274332177350e-02,1.763843755105309219e+00,2.282089221340217478e+02
1.247151852788614193e-02,1.762831341851445188e+00,2.282833380933330147e+02
1.485157472161907286e-02,1.763485758969999484e+00,2.284390974263547776e+02
2.486359600802845807e-02,1.763006947571932992e+00,2.282152351191776916e+02
4.532008759491285704e-02,1.763709044213869648e+00,2.282113212590752198e+02
2.501647884085198004e-02,1.763166012630316803e+00,2.282557142890402417e+02
2.046482227746210941e-02,1.762728445402746091e+00,2.281854501191012901e+02
5.320102784984838580e-03,1.762957381814905133e+00,2.283858884164188794e+02
7.540338073790373713e-03,1.763098039837793340e+00,2.284026582019784257e+02
