# Flux, Flux Uncertainty, Sky Flux, Sensitivity Curve
2.192766929919709040e-15,2.380922171845171373e-13,1.609666161442379382e-11,7.052637920295488259e-14
1.228867340710658830e-15,2.992603941360011310e-13,2.023497715997162012e-11,8.869680565235817277e-14
1.944377573553378930e-16,3.720725700512672025e-13,2.516881364121837329e-11,1.102846222148905437e-13
1.914321327954352003e-15,4.575590170162819024e-13,3.093975198384936726e-11,1.356077667789040928e-13
4.330798066583285686e-16,5.565729743079777118e-13,3.765556385101405775e-11,1.649412689136733426e-13
4.696743171654485958e-15,6.699519003309280576e-13,4.529555694674962323e-11,1.985008202290013136e-13
1.252442333119957373e-15,7.977189362702302706e-13,5.395924291795934425e-11,2.364269795366027042e-13
6.266984956134452012e-15,9.409641623669788571e-13,6.362862246759051488e-11,2.787709823509561338e-13
3.154835746822666850e-15,1.098694349532184656e-12,7.433699847355715016e-11,3.254831054175798044e-13
1.283331210130006132e-17,1.270855214264310777e-12,8.604581092996577908e-11,3.764044432847192177e-13
8.144981410901779850e-15,1.455579723636272183e-12,9.843645720438703799e-11,4.312627895183994199e-13
1.679445900676513755e-14,1.653359163546533377e-12,1.117826526814009704e-10,4.896730911281141692e-13
9.449142792797310076e-15,1.860494997491711249e-12,1.258481909596595709e-10,5.511426782565824466e-13
1.830231217459962410e-14,2.076441806460699642e-12,1.403892288216432713e-10,6.150811835648133623e-13
6.084198569295422228e-17,2.298049284542263330e-12,1.555398344782194861e-10,6.808147803928890580e-13
5.695803669796508902e-16,2.522368604400280856e-12,1.706432912383362847e-10,7.476041086551755710e-13
1.589362345072127275e-14,2.749381626707686377e-12,1.859138154520813397e-10,8.146650427678023557e-13
1.908864938745907506e-14,2.973997850594619693e-12,2.010868258124256714e-10,8.811913023028342198e-13
3.590070344641520616e-15,3.193355208223421807e-12,2.160386265881398456e-10,9.463778231692065715e-13
4.525984297692893698e-15,3.406122209880546894e-12,2.304189774788150114e-10,1.009443798046383530e-12
2.895376764194797126e-14,3.611097862748282834e-12,2.441874334788034391e-10,1.069654356254976697e-12
1.234757855944063572e-14,3.802093425078606358e-12,2.572439890499330975e-10,1.126339976333492302e-12
1.193848631997766925e-14,3.978315960774781191e-12,2.690936175182254602e-10,1.178912896077228150e-12
2.518695570902307952e-14,4.141002703424851832e-12,2.800291074431649046e-10,1.226879988724139572e-12
6.182686506151580537e-14,4.288191987909717000e-12,2.897915090319075620e-10,1.269851793356790034e-12
1.630710419428367041e-14,4.412952080451768571e-12,2.984913322129214996e-10,1.307547605996913074e-12
1.989809140752124482e-14,4.523469629730349156e-12,3.060619581992529529e-10,1.339796740783055154e-12
3.397700516123330549e-14,4.612494400489418276e-12,3.118643907748735465e-10,1.366536246416734171e-12
6.289546698763385842e-14,4.686148951183514894e-12,3.167129276260629435e-10,1.387805503595139137e-12
3.511658772711702909e-14,4.738487556352035980e-12,3.204112723473059902e-10,1.403738229929127487e-12
2.894856508219209167e-14,4.773805919616040430e-12,3.227802941077523440e-10,1.414552478868732894e-12
7.557414769251157811e-15,4.794631145249179428e-12,3.244311164585346826e-10,1.420539240441140317e-12
1.072273955657838332e-14,4.800112636893001032e-12,3.248000545814907527e-10,1.422050238549620021e-12
1.030259418825853046e-14,4.790591565293694053e-12,3.241068847921065684e-10,1.419485478236127916e-12
3.590529821167784505e-14,4.771339113198391293e-12,3.226751593757612377e-10,1.413281033636379314e-12
5.267869334521638955e-15,4.737286069509965175e-12,3.204989659216053686e-10,1.403897490547470368e-12
1.229544974031942979e-15,4.696402906195472241e-12,3.177624582194228991e-10,1.391809373449315996e-12
1.145332722756450711e-15,4.649025077821534089e-12,3.146162904261153836e-10,1.377495801582062223e-12
4.981435674850952555e-15,4.593597074357556993e-12,3.107487157549857890e-10,1.361432537359309257e-12
1.441250396247662159e-14,4.535849820053680267e-12,3.068099918661848146e-10,1.344085516903735921e-12
1.036550852464123173e-14,4.474288415307382543e-12,3.026663629824168294e-10,1.325905889555171430e-12
4.200113995606354067e-14,4.413833285695503741e-12,2.984272352065310342e-10,1.307326542448298089e-12
3.737557226250399559e-14,4.351287832317256751e-12,2.942419085162165881e-10,1.288760048367677688e-12
4.493368608855796835e-15,4.287202472836023183e-12,2.900278749480389182e-10,1.270597949975568169e-12
1.254729222713417641e-14,4.230098688382963978e-12,2.862105611536268207e-10,1.253211280547096813e-12
1.883906125413272421e-14,4.175394616342221513e-12,2.824489497132431768e-10,1.236952219566310704e-12
1.677995405697996998e-14,4.124547262472441582e-12,2.789590571055278806e-10,1.222156789829556970e-12
2.577808390599930875e-14,4.081504433832196410e-12,2.760158013769663094e-10,1.209148520002705974e-12
2.857802796267914659e-14,4.045950954782529984e-12,2.736702343476274761e-10,1.198243022014285198e-12
1.366711187035250978e-14,4.015662091178454281e-12,2.716489831596901395e-10,1.189753465707774744e-12
2.186755935652872173e-14,3.996047986139864830e-12,2.702390863686676696e-10,1.183996973756442672e-12
3.331311335764468228e-14,3.988683084943040222e-12,2.697478219006430670e-10,1.181302008492033642e-12
6.983208972489488819e-14,3.992597445234658448e-12,2.697717431436083455e-10,1.182016880280583362e-12
8.130387118254319143e-14,4.009385758457185979e-12,2.709109731472999396e-10,1.186519576571207192e-12
2.662722171657077520e-14,4.036350162774676424e-12,2.730818050101116920e-10,1.195229195063753337e-12
3.139745435295662210e-14,4.080004276098173167e-12,2.758919761380415227e-10,1.208619368369745308e-12
2.423392012658145937e-14,4.142464246463520690e-12,2.801599303222823784e-10,1.227230177314714000e-12
2.210209344421312974e-14,4.223525221920476401e-12,2.856693247349444472e-10,1.251256240975315243e-12
4.895637529279959933e-14,4.322699006749296174e-12,2.922405198014664748e-10,1.280128172051711885e-12
3.679610104801996377e-14,4.432261184047081367e-12,2.996407468292151307e-10,1.313163532818258761e-12
3.285303323944454401e-14,4.556268326448794094e-12,3.081309703865371875e-10,1.349622770164323187e-12
2.097134315046584517e-14,4.686789248508784839e-12,3.170009243166360346e-10,1.388683086068342272e-12
5.526696560451214516e-15,4.825129319075553601e-12,3.265551401636685606e-10,1.429416794725759042e-12
3.963505416603659187e-15,4.961498840839539319e-12,3.355751320329755039e-10,1.470775210931110385e-12
1.039890726432870037e-14,5.102099216606035087e-12,3.452361364828497582e-10,1.511579501126857709e-12
1.214765097234092966e-14,5.231844038095807894e-12,3.538780717595948398e-10,1.550520200212149265e-12
6.128996439218578693e-14,5.355440221771641879e-12,3.620056719287664189e-10,1.586167206749271454e-12
2.893047152321284729e-14,5.458540410654704769e-12,3.692348427188561587e-10,1.616991961419119783e-12
2.347329543844871673e-15,5.539479398218136029e-12,3.748537124096622070e-10,1.641403133224764913e-12
7.543058527023351913e-14,5.598202274496200778e-12,3.783700228620963530e-10,1.657796440962182657e-12
2.929489852523002383e-14,5.618776277874838235e-12,3.800294106986546723e-10,1.664703141391130463e-12
8.196715207129055746e-14,5.612119830248307123e-12,3.792385979674666300e-10,1.662007192631911618e-12
6.428213788303511720e-15,5.570991094854385778e-12,3.769677382291929983e-10,1.650676510068400602e-12
8.798793760065672802e-14,5.512090060845010138e-12,3.725483801966692644e-10,1.631823584563595117e-12
1.548840165366411798e-14,5.422795067423642199e-12,3.668870004006793474e-10,1.606632781375579367e-12
1.393026644852893504e-14,5.320404135616328995e-12,3.599671143705111278e-10,1.576315248648689778e-12
4.819158968615797944e-14,5.207152789410796580e-12,3.521392843015526330e-10,1.542070545796848351e-12
6.789530599912097462e-14,5.081144880282394257e-12,3.433451212574842932e-10,1.505055873654575681e-12
2.931308356961843940e-14,4.949787937942645506e-12,3.347726311330770735e-10,1.466363176195255022e-12
1.297902907490473161e-14,4.815959553620440851e-12,3.257966352322092998e-10,1.427003894842007155e-12
1.763766663155912670e-14,4.685524519374512875e-12,3.170209154285313588e-10,1.387900803345912085e-12
3.070652542837939420e-14,4.557032524824660595e-12,3.081976058273675681e-10,1.349886131675076328e-12
5.216375034094575467e-14,4.435380489652926475e-12,2.997979422687882065e-10,1.313705088965601734e-12
3.596163635136037742e-14,4.320423401033813223e-12,2.920862983044214308e-10,1.280023837636568232e-12
2.760805503458400929e-15,4.213988883547576002e-12,2.850745573345908787e-10,1.249001206386879124e-12
3.065044071390496108e-14,4.116116859809045597e-12,2.783458479361570188e-10,1.219319624706997606e-12
6.453214703570597190e-15,4.014589290484682679e-12,2.716473606039517214e-10,1.189475982969534413e-12
2.928375100762138955e-14,3.910550642940375065e-12,2.645106147695834112e-10,1.158107969280913273e-12
2.547794398300006650e-15,3.792943391531134387e-12,2.566388868446509726e-10,1.124004074437768596e-12
9.105542808288545294e-15,3.665564043420128304e-12,2.479889658389769109e-10,1.086127337160610799e-12
1.304936592560701429e-14,3.522794154126746066e-12,2.383302641538055913e-10,1.043649213990972305e-12
9.235233154174465949e-15,3.360955806511047429e-12,2.273401064038271808e-10,9.959891114840533513e-13
2.044900742084980773e-14,3.182479151783174714e-12,2.152142307091912064e-10,9.428541645600968960e-13
4.661345280020138796e-15,2.984380149483494307e-12,2.019287347935993030e-10,8.842730356975406932e-13
1.115759970935231498e-14,2.769979101884352738e-12,1.873938088291777493e-10,8.206171278680238514e-13
8.641649104044607873e-15,2.540319094405617281e-12,1.718073182446350621e-10,7.528434445290625912e-13
1.917937512415805877e-15,2.305559509543687433e-12,1.560452979061884450e-10,6.830342515573249203e-13
