# Resampled Flux, Resampled Flux Uncertainty, Resampled Sky Flux, Resampled Sensitivity Curve
nan,nan,nan,nan
9.826599507714819900e-16,1.653612293511359878e-13,2.140929295872734438e-11,9.383498040670597606e-14
8.755777905150601277e-16,2.120241655482646808e-13,2.745432714995741451e-11,1.203135612796629070e-13
1.094441050680371132e-15,2.676176238460801343e-13,3.465701322491505587e-11,1.518441195396806056e-13
3.462093056014582862e-15,3.327802563581133928e-13,4.308320631030427374e-11,1.887828147568853714e-13
1.824590535401931569e-15,4.094652453263530062e-13,5.302366274372523187e-11,2.323317291359075730e-13
5.713456883451757255e-15,5.061374084436517020e-13,6.553321840226135873e-11,2.870792187859640075e-13
2.109894754271352440e-15,6.037759760800783389e-13,7.823101776984767405e-11,3.424180997208697428e-13
3.971031607658228405e-15,7.107562104081490148e-13,9.207676786390274810e-11,4.031059014875344778e-13
1.368367889756041306e-14,8.264300258013644973e-13,1.069827004341914298e-10,4.686658565978983042e-13
1.096653497982220202e-14,9.494248888701620824e-13,1.229425382596242278e-10,5.384443180320061629e-13
1.603742464246099057e-14,1.089807037067562541e-12,1.410868766718404173e-10,6.180621267450603966e-13
1.877041508318822880e-16,1.229537056564266581e-12,1.593061263408945882e-10,6.974697824591738015e-13
6.703243774866937850e-15,1.364947654132751872e-12,1.767555329670534401e-10,7.744461891307758918e-13
1.765287425286278654e-14,1.500661108616538107e-12,1.942684051098390341e-10,8.512958488294197233e-13
8.232816384037432116e-15,1.633636635925652921e-12,2.115596731536665342e-10,9.268505838824152254e-13
4.385336583155636306e-15,1.762391292977760927e-12,2.282579203854539226e-10,9.999663399930871620e-13
2.648058323315856304e-14,1.900624432554228321e-12,2.460813795961674136e-10,1.077876341960081278e-12
1.222716247949930527e-14,2.013011532111802642e-12,2.607319207955611788e-10,1.141814786891916121e-12
1.778756560197619955e-14,2.115479525646598681e-12,2.739215373088206677e-10,1.200089933180905869e-12
4.673490282272134064e-14,2.208152913236368966e-12,2.857703801934097927e-10,1.252151726290311542e-12
2.840720695561819965e-14,2.287663485267044477e-12,2.961787375839042544e-10,1.297527272016076063e-12
1.981463009698579627e-14,2.356920409805686805e-12,3.052950269129195177e-10,1.336579842268011074e-12
3.887121522268068963e-14,2.415724001314339523e-12,3.126849654645939427e-10,1.370135891968664237e-12
5.419488293491434178e-14,2.456247746515603122e-12,3.178712810211490626e-10,1.392795770601874490e-12
3.229995754930788028e-14,2.483447986553874142e-12,3.214930871470376332e-10,1.408676561330795599e-12
1.612310888822768712e-14,2.499994145010852568e-12,3.237700749018767160e-10,1.418141951485554754e-12
9.905970066546805863e-15,2.506475010666574758e-12,3.247048550608138971e-10,1.421660345809562817e-12
1.099633028743963212e-14,2.502565942453298858e-12,3.241513404294407779e-10,1.419627119015885892e-12
3.081876179125998003e-14,2.489233427757805061e-12,3.223138598911725272e-10,1.411723143975805125e-12
4.030772834563171530e-15,2.467858866170149181e-12,3.196606667167171245e-10,1.400194428084354802e-12
1.191974734454868770e-15,2.442006637421079063e-12,3.163588349228843940e-10,1.385423552905258237e-12
3.391063826322354940e-15,2.411352450895248550e-12,3.123521351511436927e-10,1.368092046641090801e-12
1.181129845001008671e-14,2.377506972884698745e-12,3.078963407271166497e-10,1.348870040126106299e-12
1.092800073317553507e-14,2.341450772884071516e-12,3.032355773783452298e-10,1.328403246464611212e-12
4.136552550612320688e-14,2.300967752164416576e-12,2.978521157188649533e-10,1.304775259513058393e-12
2.836146965279363159e-14,2.263612357659806804e-12,2.930867021503529901e-10,1.283781214824811813e-12
7.798247272310211262e-15,2.227076551835947429e-12,2.884614634064355845e-10,1.263463435725609047e-12
1.598289195767448707e-14,2.193887287749476243e-12,2.841565456302463248e-10,1.244333073911613449e-12
1.743630968269560199e-14,2.162823911980530680e-12,2.800714861472915412e-10,1.226872942323233284e-12
2.412182328154547216e-14,2.136014571299852411e-12,2.765575582367482663e-10,1.211542915890295030e-12
2.718882066607003833e-14,2.112906986936960218e-12,2.736178533045483100e-10,1.198075577436286567e-12
1.544644643935318673e-14,2.095263432044930123e-12,2.713430635006448951e-10,1.188504421049852465e-12
2.586959654198367710e-14,2.085896905492393697e-12,2.700673114883311246e-10,1.183054655787332352e-12
5.090930893100512625e-14,2.084380842190235776e-12,2.697593480416098918e-10,1.181646460200501608e-12
7.687021599500344701e-14,2.090820747822292547e-12,2.704706794549631746e-10,1.184779358380986045e-12
4.058628435352846961e-14,2.104698878486854124e-12,2.725275871082603366e-10,1.193005611298674524e-12
3.076308727455242872e-14,2.128437184171626919e-12,2.755655599688146000e-10,1.207054414950556607e-12
2.394555583773076282e-14,2.169449284432587503e-12,2.809051656713588457e-10,1.230480093838731758e-12
2.920417627866759210e-14,2.219762711830689085e-12,2.874071917889560082e-10,1.258891926310390609e-12
4.417524419001253378e-14,2.280365174560704842e-12,2.951501133597897204e-10,1.293116891522453573e-12
3.474020959081573326e-14,2.348864575289648889e-12,3.040674975037258117e-10,1.332173156348683265e-12
2.514037353960181109e-14,2.424119270281021403e-12,3.138886475943943481e-10,1.374977658406653045e-12
8.980737345860428489e-15,2.504139810568525357e-12,3.244184353180174551e-10,1.420307108063542985e-12
4.303999387513567852e-15,2.586785897897080482e-12,3.349849795562411973e-10,1.467966632948549278e-12
1.067022988477223915e-14,2.675484842653287750e-12,3.465769576187583190e-10,1.517621262689353549e-12
2.592944473665401677e-14,2.750845247561291236e-12,3.561574294360098703e-10,1.560517281306246610e-12
4.817605908804413998e-14,2.819122613678107647e-12,3.649353427228227777e-10,1.598659148925268312e-12
1.485244601771115095e-14,2.873540572702912392e-12,3.722105101881361786e-10,1.629919744732536319e-12
5.010221885909577969e-14,2.913471301402581712e-12,3.771513798409370258e-10,1.652115034175676830e-12
3.959248537530078301e-14,2.932449886742307028e-12,3.796590316803611465e-10,1.663161550650157741e-12
7.501434073136300642e-14,2.931246416819729418e-12,3.792677543928361978e-10,1.662027289000791577e-12
1.817503076935698812e-14,2.905459128497632974e-12,3.763312305565917203e-10,1.647961176382721099e-12
6.874047448366668438e-14,2.866742566529008372e-12,3.710453747306169495e-10,1.625135830650201863e-12
1.488623533162178870e-14,2.811815413501295877e-12,3.642126995402626408e-10,1.594916084958361145e-12
3.129988375568233570e-14,2.749013259482448035e-12,3.559986041147862061e-10,1.558954057453354179e-12
6.054602601804576807e-14,2.678580769286004476e-12,3.466252520401002639e-10,1.518861958997080114e-12
3.909078320415437972e-14,2.602808279685215721e-12,3.369451144240443899e-10,1.476168872963980262e-12
1.517319568610416674e-14,2.524908407765650227e-12,3.270023879443923347e-10,1.432291058602483843e-12
1.890341528112360050e-14,2.441582789955132417e-12,3.162547894852879552e-10,1.384620313006396689e-12
3.543013177883097616e-14,2.366285732004058904e-12,3.063484988581002938e-10,1.341921215251594996e-12
4.669773588591147410e-14,2.296474726816176119e-12,2.971963090863280589e-10,1.302342237997729237e-12
2.088437460683359254e-14,2.231440324508427946e-12,2.889021052831303001e-10,1.265935746483118767e-12
1.866955336594504117e-14,2.171932630796561358e-12,2.812363808775702393e-10,1.232070300136510844e-12
1.404509304893662877e-14,2.113579647317996279e-12,2.737490106402971397e-10,1.198839423942344210e-12
2.475464034538077231e-14,2.053379461922503909e-12,2.659263989290822665e-10,1.164330740544733260e-12
4.982599430616880009e-15,1.984235788476733925e-12,2.570279581801345151e-10,1.125677273618803407e-12
9.677288128745618329e-15,1.903824719045166111e-12,2.465887211206127593e-10,1.079969183657886436e-12
1.206338690160307614e-14,1.818210599840706468e-12,2.354892343152184107e-10,1.031328756322150807e-12
1.340210109711972722e-14,1.720889583919310536e-12,2.228343154443754717e-10,9.762449734514643089e-13
1.280450186281883368e-14,1.612204065467448307e-12,2.087812929846572134e-10,9.144887383690087210e-13
8.535556526910785229e-15,1.492046477471290406e-12,1.932604515148802221e-10,8.463101700605953347e-13
9.376076203423479419e-15,1.361903941861218836e-12,1.763571456718320339e-10,7.726271515556827596e-13
3.132542477982280926e-15,1.226416132443175042e-12,1.588926282697145157e-10,6.956449341052240839e-13
1.413544064384575911e-14,1.085315644800214813e-12,1.405481841287338930e-10,6.154038035459906620e-13
3.540812461126578168e-15,9.441579868481547547e-13,1.222933671847096734e-10,5.356135146704402239e-13
1.043016668603291735e-14,8.197407304951109712e-13,1.061444613417329241e-10,4.648812264652391155e-13
9.094703546901106072e-15,7.044901915524547231e-13,9.121396763411162666e-11,3.995452192049877732e-13
2.932328165180618380e-15,5.999812621190514765e-13,7.771420887396172967e-11,3.403366249414821843e-13
6.974250871835525418e-15,5.070864762675161539e-13,6.565222217507429274e-11,2.875790300176581734e-13
5.818941685523466341e-15,4.254746655507350146e-13,5.509363607561261777e-11,2.412689718199767404e-13
7.551492990447345092e-15,3.548226180285921738e-13,4.592973654651200046e-11,2.011572901561097356e-13
1.924066306434952580e-15,2.935181626008926035e-13,3.801874970438012851e-11,1.664689339681016448e-13
7.839113969814943456e-16,2.387430282919560181e-13,3.091930151849219349e-11,1.354573322667382938e-13
1.132623170064054000e-15,1.970250415955765514e-13,2.551563662155379127e-11,1.117762054122665090e-13
9.370444091046980259e-16,1.622691594267068346e-13,2.101626429688536208e-11,9.204915622154292371e-14
3.176173223230073816e-16,1.334813772665694294e-13,1.729130686968795432e-11,7.572205191811082439e-14
1.137112325594612020e-15,1.098276170611681899e-13,1.422343940914696835e-11,6.228344537044902321e-14
9.370806725556879703e-16,9.041962110356923903e-14,1.171094015717384732e-11,5.127360754801836345e-14
6.858789072453433876e-16,7.457235500126866824e-14,9.659141771557967571e-12,4.228805476199578541e-14
