# ADU, ADU Uncertainty, Sky ADU
3.181085011215397662e-01,8.703987123773861967e+00,1.119843672776611129e+03
3.894622600700865106e-02,8.701813768030019602e+00,1.121735470284833355e+03
2.691226904005525888e-01,8.705458232806403629e+00,1.120809574169596544e+03
2.243377013438441629e-05,8.701151348343946879e+00,1.121866448553029613e+03
6.684960574033697867e-02,8.700922962576967734e+00,1.121158205279531785e+03
1.787759768299070351e-01,8.705433992583735403e+00,1.121660840402972099e+03
1.936940806531828319e-01,8.703373054626499794e+00,1.120795143701885308e+03
8.315728957978341107e-02,8.702884224263190305e+00,1.121694002390057904e+03
3.088470346410259609e-02,8.700950712302946144e+00,1.121529417046463777e+03
1.772411493015906558e-01,8.704812493559192177e+00,1.121462584979161647e+03
6.715023761080517184e-02,8.699566383774142153e+00,1.120673015391966828e+03
2.523081779758079013e-01,8.706164599762990619e+00,1.121244703557391631e+03
5.858791374030859755e-02,8.697775343709579943e+00,1.120128138883065049e+03
1.254318143194746715e-01,8.703328705677170873e+00,1.121455966920138962e+03
5.152243021637525899e-03,8.703044027697901086e+00,1.122481207604299243e+03
1.266900933213407909e-01,8.704421804790710482e+00,1.121851044654879615e+03
3.558248865782152603e-01,8.706150741504240287e+00,1.120239671254556015e+03
1.900141618003946839e-04,8.705658556430792672e+00,1.123471438414750082e+03
2.147818170610213684e-01,8.704358727273239893e+00,1.120959771578454593e+03
1.055761146678994011e-01,8.701516388990109263e+00,1.121008184471233562e+03
4.604145136724726584e-01,8.709564564530889896e+00,1.120441010531264283e+03
4.286032969131208792e-01,8.713350088503862167e+00,1.122089072250801109e+03
5.526368849083167223e-02,8.699783286775781832e+00,1.120871104416457001e+03
2.524068543685099586e-01,8.703865994722983501e+00,1.120432563185788467e+03
1.098487361991977163e-01,8.705523390581397791e+00,1.122344354019591947e+03
4.704505710482490000e-02,8.698652452108728284e+00,1.120534811142630815e+03
2.246254306000298323e-02,8.702904676535302642e+00,1.122277267899318304e+03
9.937568485403351637e-02,8.706038637766228661e+00,1.122670214809043955e+03
2.193724383703871475e-02,8.705101422455902238e+00,1.123054283768623463e+03
2.053358229526205114e-01,8.707746238903643743e+00,1.122251147463347252e+03
1.379588954170267723e-01,8.703817662850779513e+00,1.121505366202301957e+03
1.603779063572134678e-02,8.701879844511092088e+00,1.122015686402524352e+03
2.039980424626625377e-01,8.705194903824962083e+00,1.121351573271326743e+03
