# Flux, Flux Uncertainty, Sky Flux, Sensitivity Curve
2.681148033313077159e-11,4.309389332688173476e-09,5.650041793975295697e-12,6.917076293536592035e-02
2.505058184054386989e-11,4.029825201306886690e-09,5.280488473027848119e-12,1.393962126540089670e-02
2.350047874587600677e-11,3.773849956283002271e-09,4.951026216477373164e-12,1.249076756978817343e-01
2.208422078933325381e-11,3.552170843312324994e-09,4.656830947711130057e-12,2.267492815220317325e-03
2.083866622938683358e-11,3.350083193881878398e-09,4.393748419034138590e-12,3.342950509261646136e-02
1.973436747733138372e-11,3.170479473383799753e-09,4.158192891854923492e-12,9.532236103477270683e-02
1.873035089244018168e-11,3.010674085099335091e-09,3.947062388866178558e-12,6.607099839987175260e-02
1.782990977638656653e-11,2.867843900695091756e-09,3.757667627565865312e-12,3.100259553127023004e-02
1.701403122308086126e-11,2.735452804719448134e-09,3.587672277425554776e-12,2.423917862774018286e-02
1.630047808977919413e-11,2.617818960831332111e-09,3.435042612717105190e-12,1.076396693963985740e-01
1.563809930261703646e-11,2.513408581148315071e-09,3.298004980365071569e-12,3.292435422627664615e-02
1.507334757379408739e-11,2.423980697437564401e-09,3.175009783690673030e-12,6.417555284400867921e-02
1.453912185512810723e-11,2.339575485407295408e-09,3.064700911611062942e-12,9.550156213068121543e-05
1.407338249925954147e-11,2.262858909090550159e-09,2.965889729116293308e-12,4.837617637243196017e-02
1.364899438940084418e-11,2.195578108032682888e-09,2.877532896905704147e-12,8.400308945775310926e-03
1.327678470785715457e-11,2.132826958092255226e-09,2.798713412500979700e-12,7.961702677326175370e-02
1.295500654468160931e-11,2.081985153112627156e-09,2.728624367219093499e-12,1.001909288744717297e-01
1.264713967849642498e-11,2.034500532599512722e-09,2.666554997297778493e-12,2.408488191745091454e-03
1.239605907491411646e-11,1.992443933246158778e-09,2.611878676602340144e-12,7.485283974609295565e-02
1.216078054649522254e-11,1.952209870689533481e-09,2.564042555432667713e-12,1.022659696085179565e-01
1.198109180601671833e-11,1.923381884734701311e-09,2.522558597192057162e-12,1.688336414678460740e-01
1.181781653558980514e-11,1.894777529991166853e-09,2.486995803856270985e-12,2.529786483312587153e-01
1.165349492872525663e-11,1.874617861475408419e-09,2.456973453736269968e-12,6.046513149112856499e-03
1.154242796829147129e-11,1.854704498231774885e-09,2.432155202135183447e-12,8.555587352032342774e-02
1.144917569339163049e-11,1.841193238504633111e-09,2.412243918115713896e-12,5.225415356295077390e-02
1.136844677761274150e-11,1.828729381720773158e-09,2.396977149501660154e-12,4.903079876019048391e-03
1.132143852721145306e-11,1.821675300231959653e-09,2.386123124074700057e-12,9.428607442484509410e-03
1.129054207289446270e-11,1.811039631185451757e-09,2.379477208221665848e-12,1.614964096701706486e-01
1.127558892130555714e-11,1.812386694286751156e-09,2.376858755471546627e-12,5.222868245258871500e-02
1.129093426877019532e-11,1.814083054964639132e-09,2.378108286790750455e-12,1.123090663147957857e-01
1.131069912460896789e-11,1.819671267109616344e-09,2.383084952477421696e-12,3.351337567313741189e-02
1.134295168705652094e-11,1.824089252909151019e-09,2.391664232254927255e-12,1.742067293844667270e-02
1.141063671973100739e-11,1.835146380518276031e-09,2.403735835917120463e-12,5.686698077480151214e-02
1.147754125860324009e-11,1.846394135190573092e-09,2.419201771793532751e-12,1.649877528285944792e-02
1.156741356312537229e-11,1.860841810908666542e-09,2.437974554526819171e-12,2.106720179705771911e-02
1.167482195452093306e-11,1.875572049642853396e-09,2.459975527307528994e-12,9.773637080879012118e-02
1.179326618150772362e-11,1.894897028817031166e-09,2.485133276897157119e-12,8.657438180405134520e-02
1.192242193347107981e-11,1.916353274834611559e-09,2.513382122575463301e-12,4.826750609303295803e-02
1.208320348480111650e-11,1.942401291508969333e-09,2.544660662650055493e-12,9.234518429945895446e-02
1.223803237011979137e-11,1.968728308186322758e-09,2.578910364426582984e-12,2.856818690375648867e-02
1.242208764429357407e-11,1.999195978748562343e-09,2.616046265819375439e-12,3.727451007292847951e-02
1.261320152920069102e-11,2.027770820851605862e-09,2.655789780118443186e-12,9.795165316307255510e-02
1.281366250930380439e-11,2.058203459725385438e-09,2.697765336779021885e-12,1.439299474863933725e-01
1.301811182123825601e-11,2.090502728314672576e-09,2.741572184898006499e-12,1.419789007666859004e-01
