# Resampled Flux, Resampled Flux Uncertainty, Resampled Sky Flux, Resampled Sensitivity Curve
nan,nan,nan,nan
1.046676953361054020e-14,4.763663434130265189e-13,1.166597635666812620e-10,1.040223593581002835e-13
2.040058132937076473e-14,6.073231800140585758e-13,1.486865213723937203e-10,1.326063649417478797e-13
6.432098315959043486e-15,7.619917338766736218e-13,1.866409040205602910e-10,1.664271473020348160e-13
3.032311387091278770e-14,9.425910952474878665e-13,2.308059502639008370e-10,2.057975019075107157e-13
4.805194916390105318e-14,1.149130109804954522e-12,2.812456237050143061e-10,2.509056922752705328e-13
2.378532240291884381e-14,1.411319269924598762e-12,3.456839568904107878e-10,3.081909373034778186e-13
2.784965923367317851e-14,1.679596067650529932e-12,4.113631157252921593e-10,3.667943557738803482e-13
5.444055583842280872e-14,1.967787936377123382e-12,4.817560791955043096e-10,4.297173019952293269e-13
8.900518349585787775e-14,2.277384545307336467e-12,5.574376147071641200e-10,4.972600345948533010e-13
6.154199148146600342e-14,2.603429325125356999e-12,6.371659512321536970e-10,5.686878608447221828e-13
7.437941070539427158e-14,2.949450642471874573e-12,7.222036546021608616e-10,6.440696567983164444e-13
1.904885173356081555e-14,3.340229610887514363e-12,8.186039458468190614e-10,7.293513896422430036e-13
1.618711475613571286e-13,3.694374191305194126e-12,9.043784874332417345e-10,8.065226451843103734e-13
1.670268693915241862e-13,4.045301864877027894e-12,9.905523160393176262e-10,8.830385745703854190e-13
1.256780642956944971e-13,4.386942042013194206e-12,1.074513767552739098e-09,9.577302869026612584e-13
1.368108473194415671e-13,4.714133176625425699e-12,1.154034544587517781e-09,1.029472423200914319e-12
4.609613287064700508e-13,5.034259866903911115e-12,1.230985811039016453e-09,1.098557446248783641e-12
4.248815797978685383e-13,5.349603241356977191e-12,1.309309524468382346e-09,1.167068910876260384e-12
1.439287311155716882e-13,5.598442401350493009e-12,1.370374234507550678e-09,1.222749056154829675e-12
2.379814896519842384e-13,5.826121673251158003e-12,1.426256336537772914e-09,1.271957255143582717e-12
9.503881503530174965e-14,6.017859390134446272e-12,1.473677552975170416e-09,1.314301656052873844e-12
3.906961910706263399e-14,6.179587065285626281e-12,1.513966755732555508e-09,1.349566070584743979e-12
1.223108890450169432e-13,6.312175257591517879e-12,1.546879054525728103e-09,1.377912314613515384e-12
6.973736321491805024e-14,6.415704413960874005e-12,1.572703410891907339e-09,1.400532708983360615e-12
2.625757932653859824e-13,6.475998672837622565e-12,1.586013347688270503e-09,1.413515700588691437e-12
1.217997388414411783e-13,6.504256954046890120e-12,1.593154594699866325e-09,1.420273428499134261e-12
1.737821885301915237e-13,6.509623599148765256e-12,1.594209933081562232e-09,1.421320067575793377e-12
1.507783860161729259e-13,6.490220078103890466e-12,1.589363866552686595e-09,1.417242729042731027e-12
1.314683129719947954e-13,6.449313598911772586e-12,1.578777398510290937e-09,1.408680346655699102e-12
1.393384645151755363e-13,6.389962031948731467e-12,1.566023425966190167e-09,1.394772311529604298e-12
8.086757301233168999e-14,6.314804902778894803e-12,1.547951937905438248e-09,1.378469460412546085e-12
1.339852702089358803e-13,6.230608209410301105e-12,1.526584278344072462e-09,1.360192085373308827e-12
2.162978668296784771e-13,6.139680037368869223e-12,1.503529704063847965e-09,1.340331250916282181e-12
1.534467554958990962e-13,6.044435869597866872e-12,1.480797188404512102e-09,1.319525380266880789e-12
3.899396218793836799e-13,5.949144200491635114e-12,1.455820125055047094e-09,1.298382333144691221e-12
3.069029205368450787e-13,5.850314162005011889e-12,1.432807809578675661e-09,1.276583353364563719e-12
2.435092059687702902e-13,5.751579535204892627e-12,1.408903972740909353e-09,1.255193789122096932e-12
1.852230215860413056e-13,5.664669882210118055e-12,1.387129266736527019e-09,1.236741382414765651e-12
1.240537116801066537e-13,5.588501767071774007e-12,1.368911850729560636e-09,1.220183885088060866e-12
4.009370221061080769e-13,5.526154832723096385e-12,1.352141784782649026e-09,1.205973422322563899e-12
1.812961048956544102e-13,5.472301181090534373e-12,1.340374143666362499e-09,1.194550401634132885e-12
7.333781194124927095e-14,5.434365902619943586e-12,1.331951328782326721e-09,1.186353103667124563e-12
3.918215228884376754e-13,5.415720462872292804e-12,1.325248933939485241e-09,1.181805913462462259e-12
4.662761150629636284e-14,5.414616937820593530e-12,1.326945629866568349e-09,1.182249219301068582e-12
1.973485837957215678e-13,5.439646307775457807e-12,1.331842862961470112e-09,1.187612840766557088e-12
1.495206848734428553e-13,5.490407431633437957e-12,1.345386358430027494e-09,1.198365139806242043e-12
2.356977658378060958e-14,5.564868091418453115e-12,1.363752064508467532e-09,1.215178654398611976e-12
7.889423560499574869e-14,5.672460904400480860e-12,1.389598950020460018e-09,1.238669896385969502e-12
2.141785342579834927e-13,5.811319335793513413e-12,1.423028260968401333e-09,1.268643806992459941e-12
1.990175026649803364e-13,5.993164799060729776e-12,1.467845845082300389e-09,1.308289734654056953e-12
2.888469884134964388e-13,6.183842470375724988e-12,1.514317946644255813e-09,1.349632451526304716e-12
3.111517798822289987e-13,6.384893438867314441e-12,1.562978654838394157e-09,1.393752569287377261e-12
2.037629508531007580e-13,6.597363036730113972e-12,1.616859219620859882e-09,1.439747645007139091e-12
1.722219279531699638e-13,6.806238500816753844e-12,1.666834768415894401e-09,1.486128091115849963e-12
3.073128884633973584e-13,7.016878397760490655e-12,1.718971704550299078e-09,1.531211502038738639e-12
2.886166083349217554e-13,7.207272995667928672e-12,1.765131187081434254e-09,1.573127643863450401e-12
3.234672946453303055e-13,7.390474077332624732e-12,1.810958707079213224e-09,1.612497026566199589e-12
1.138786878300914520e-13,7.514547536661578452e-12,1.841303702538632997e-09,1.640657589754964445e-12
1.402832262984059324e-13,7.594502515199595046e-12,1.860765134710402947e-09,1.658060601572411626e-12
2.792687298314987497e-13,7.622066222078239644e-12,1.866879222263776107e-09,1.663724906452843334e-12
2.448937317714110199e-13,7.595167269305602512e-12,1.860758650546876273e-09,1.657769629499384015e-12
2.817274794028532042e-14,7.518788735157344728e-12,1.843220584395960654e-09,1.641556203326736804e-12
1.776716125165960985e-14,7.402714223400687164e-12,1.813982709975831903e-09,1.616656217034199347e-12
2.079524537648453477e-13,7.251495003328201070e-12,1.777135253249410356e-09,1.582600264302626980e-12
2.013268690829164891e-13,7.067106128001273340e-12,1.730950525476040236e-09,1.542873665043179882e-12
1.689035915609433722e-13,6.877412426493525953e-12,1.684848926038672183e-09,1.501402216563004246e-12
3.036828183931912059e-13,6.680664796545548232e-12,1.636128863030980329e-09,1.458027410406572395e-12
5.810623738902069089e-14,6.477299201014295308e-12,1.587694802501623719e-09,1.414101662408279032e-12
3.937088597858773881e-14,6.277573411104642665e-12,1.538219913334649290e-09,1.370843134995170925e-12
4.080336320905388475e-13,6.090835731308658823e-12,1.490354726778286927e-09,1.329335584850367171e-12
2.795597749814203881e-13,5.911373757283589672e-12,1.446834945617038130e-09,1.290536975184907727e-12
5.857148918895879360e-14,5.733748558867624008e-12,1.405466928186703962e-09,1.251721996684138457e-12
4.141596228510817643e-13,5.584701022229085109e-12,1.367110059720821689e-09,1.218374669029705850e-12
2.641488328798958561e-13,5.427767423466862469e-12,1.328681837814235133e-09,1.184814468140939031e-12
1.974523327825143902e-13,5.264347930803571772e-12,1.289251899860176962e-09,1.149140119064647465e-12
2.732157880561465472e-13,5.086397243286589066e-12,1.245883826807769958e-09,1.109780119826743397e-12
2.502232820941294786e-13,4.880757402104995742e-12,1.194605809925657371e-09,1.065434970155022488e-12
1.860207978498765327e-13,4.650348630523614746e-12,1.138729598153667042e-09,1.015132166018813374e-12
3.584206225217786572e-13,4.386926552210836679e-12,1.072919003844068515e-09,9.574011137070338000e-13
1.507762240361515773e-13,4.067631431392236619e-12,9.965918082252692788e-10,8.877041833759443789e-13
2.929477021346729716e-13,3.745010470215946285e-12,9.168325537561247082e-10,8.169069606601165252e-13
1.258688103463116862e-14,3.396588852646703626e-12,8.328960998269850274e-10,7.414487687819168652e-13
7.552164711139813106e-14,3.041890792436842629e-12,7.453282829810322031e-10,6.640082226471294793e-13
1.148577186063845255e-13,2.691314412721481136e-12,6.593928449792771527e-10,5.872650029141797368e-13
6.744202808723357863e-14,2.353118929461274798e-12,5.770053460100390207e-10,5.133883948497804252e-13
4.759374428709022835e-14,2.034550548976018220e-12,4.987505017894024031e-10,4.440086146617341432e-13
2.558696560267112701e-13,1.743634126662911186e-12,4.259784619065156818e-10,3.802146368800872046e-13
2.042186250490350144e-13,1.457911681211486378e-12,3.565480626354085118e-10,3.177664791392247632e-13
3.454213608034854159e-14,1.227978475893000150e-12,3.011568164110721044e-10,2.678934179413512695e-13
1.052679183142822210e-13,1.029044761192948153e-12,2.518675312053761585e-10,2.243768940305060872e-13
8.787309853263250245e-14,8.571748475039164085e-13,2.098535196800025634e-10,1.868737473781879238e-13
1.078524294781337827e-13,7.108248796890490796e-13,1.738107154783775454e-10,1.549061939243562509e-13
1.080689825105289492e-13,5.873697556013762090e-13,1.436017226373676835e-10,1.279208339537483031e-13
1.234323806818804469e-13,4.843433167993658747e-13,1.183762986198370173e-10,1.053353083958984862e-13
1.425588721999866666e-13,3.986329997797457983e-13,9.727629478422780399e-11,8.657300903192281372e-14
1.712492362015050530e-13,3.249996950045632906e-13,7.905529964189723801e-11,7.044337113635509309e-14
1.569477450827950778e-13,2.655872158691159131e-13,6.457133984236549706e-11,5.750006302545977498e-14
